No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
45.0,DEXKETOPROFENO+NEUROTROPA KIT ,4.0,,,,,,,,,,,,4.0,14.0,20.0,,2026-12-01,18.0,10.0,2025-03-01,2.0,1.0,3.0,3.0,9.0,2.25,9.0,18.0
46.0,DIAZEPAN 10 MGS MK BLIS X 10 CAJA X 100,25.0,,,,,,,,,,,,25.0,15.0,4.4,,2025-07-01,5.0,,2024-08-01,3.0,8.0,4.0,5.0,20.0,5.0,20.0,40.0
47.0,DIBETES FCO X 100 TABS,1.0,,,,,,,,,,,,1.0,5.0,40.0,,2025-12-01,1.0,,2024-05-01,1.0,1.0,,1.0,3.0,0.75,3.0,6.0
48.0,DICLO+NEURO SHEKINAH BLIS X 10 GEL CAPS CAJA X 100,13.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,6.0,28.200000000000003,10.0,,2026-11-01,2.0,2.0,2025-03-01,5.0,1.1,4.0,7.0,17.1,4.275,17.1,34.2
49.0,DICO GRIP A.M CAJA X 24 SOBRES,9.0,,,,,,,,,,,,9.0,3.0,4.0,,2026-11-01,1.0,,2024-12-01,3.0,1.0,1.0,1.0,6.0,1.5,6.0,12.0
50.0,DICO GRIP P.M CAJA X 24 SOBRES,15.0,,,,,,,,,,,,15.0,3.0,4.0,,2026-11-01,1.0,,2024-12-01,3.0,1.0,1.0,4.0,9.0,2.25,9.0,18.0
51.0,DIPIRONA+DEXAMETASONA X 3 DOSIS,2.0,,,,,,,,,,1.0,,1.0,5.0,40.0,,2026-02-01,2.0,,2023-02-01,1.0,,1.0,1.0,3.0,0.75,3.0,6.0
52.0,DOLO NEUROBION  CAJA X 120 BLIST X 5,119.0,,4.0,4.0,5.0,,7.0,6.0,10.0,7.0,,,76.0,180.0,4.0,,2026-03-01,2.0,2.0,2025-03-01,33.0,35.0,17.0,43.0,128.0,32.0,128.0,256.0
53.0,DOLO NEUROBION FORTE DC ,2.0,,,,,,,,,,,,2.0,12.0,82.0,,2027-10-01,6.0,,2025-02-01,4.0,1.0,1.0,1.0,7.0,1.75,7.0,14.0
54.0,DOLO NEUROBION KIT INYECTADO 2 AMP,1.0,,,,,,,,,,,,1.0,11.0,50.0,,2026-10-01,3.0,,2024-07-01,2.0,1.0,1.0,2.0,6.0,1.5,6.0,12.0
55.0,DOLO NEUROBION XR BLIS X 5 TAB CAJA X 60,18.0,1.0,3.0,,1.0,,2.0,,,2.0,2.0,,7.0,93.0,8.0,,2028-01-01,12.0,12.0,2025-03-01,9.0,18.0,12.0,11.0,50.0,12.5,50.0,100.0
56.0,DOLO TETRAVIT KIT ,2.0,,,,,,,,,,,,2.0,4.0,49.0,,2026-12-01,3.0,,2025-02-01,,1.0,1.0,1.0,3.0,0.75,3.0,6.0
57.0,DOLOVITANERVO PIERSAN  BLIST X 10  CAJA X  150,162.0,,,,,,,,,,,,162.0,-126.0,1.2,,2025-11-01,0.0,1.0,2025-03-01,4.0,10.0,2.0,2.0,18.0,4.5,18.0,36.0
58.0,DOMINAL CAJA X 100 SOBRES,96.0,,5.0,6.0,,,,,,,,,85.0,-47.0,1.0,,2026-08-01,0.0,,2024-07-01,2.0,2.0,4.0,11.0,19.0,4.75,19.0,38.0
59.0,DORIVAL CAJA X 60 GRAGEAS BLIST X 12 TAB,41.0,,,,,,,,12.0,,,,29.0,103.0,2.0,,2028-11-01,0.0,,2025-01-01,36.0,12.0,6.0,12.0,66.0,16.5,66.0,132.0
60.0,DULSITOS JBE 120 ML,3.0,,,,,,,,,,,,3.0,5.0,29.0,,2026-05-01,0.0,2.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
61.0,ENANTYUM 25 MG CAJA X 10 TABLETAS ,15.0,,,,,,,,,,,,15.0,-9.0,12.0,,2027-12-01,1.0,,2025-02-01,,1.0,2.0,,3.0,0.75,3.0,6.0
62.0,ENTEROGERMINA AMP 2 BILLONES BEB 5 ML CJ X 20,27.0,,,,,,,,,1.0,,,26.0,40.0,20.0,,2026-02-01,7.0,,2025-02-01,9.0,8.0,15.0,1.0,33.0,8.25,33.0,66.0
63.0,ESPASMOFIN NF (COLICOS) CAJA X 110 SOBRES,28.0,,,,,,,,,,,,28.0,4.0,2.0,,2027-04-01,0.0,,2024-01-01,8.0,1.0,4.0,3.0,16.0,4.0,16.0,32.0
64.0,EXPECTORANTE COMPUESTO LANCASCO 120 ML,1.0,,,,,,,,,,,,1.0,7.0,45.0,,2026-03-01,0.0,,2025-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
65.0,FIBRA GUMMY 3MG VESA FCO X 40 GOMITAS ,1.0,,,,,,,,,,,,1.0,1.0,55.0,,2027-12-01,1.0,,2024-08-01,,,,1.0,1.0,0.25,1.0,2.0
66.0,FLAMYDOL AMPOLLA ,8.0,,,,,,,,,1.0,,,7.0,3.0,7.0,,2026-12-01,0.0,,2024-09-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
67.0,FLAMYDOL RETARD CAJA X 48 BLIST X 4,16.0,,,5.0,,,1.0,,2.0,,,,8.0,24.0,10.0,,2027-08-01,1.0,,2025-02-01,3.0,4.0,1.0,8.0,16.0,4.0,16.0,32.0
68.0,FLUDISIN (AMBROXOL) JBE 100 ML LEGSA,4.0,,,,,,,,,,,,4.0,8.0,35.0,,2026-04-01,4.0,4.0,2025-03-01,3.0,1.0,1.0,1.0,6.0,1.5,6.0,12.0
69.0,FLUDISIN COM (AMBR+CLEB) 100 ML LEGSA,3.0,,,,,,,,,,,,3.0,9.0,39.0,,2027-01-01,2.0,6.0,2025-03-01,1.0,2.0,1.0,2.0,6.0,1.5,6.0,12.0
70.0,FLUDISIN L (AMB + LORATAD) 100 ML LEGSA,6.0,,,,,,,,,,,,6.0,6.0,39.0,B Y F,2026-08-01,6.0,6.0,2025-03-01,1.0,1.0,1.0,3.0,6.0,1.5,6.0,12.0
71.0,GASA POR UNIDAD BOLSA X 100,98.0,10.0,,,,,,,,,,,88.0,110.0,0.5,,2027-04-01,4.0,,2024-09-01,24.0,42.0,23.0,10.0,99.0,24.75,99.0,198.0
72.0,GENOGASTRIL  CAJA X 2 FCOS  60 CAPS,1.0,,,,,,,,,,,,1.0,5.0,95.0,,2027-12-01,0.0,,2024-09-01,1.0,1.0,,1.0,3.0,0.75,3.0,6.0
73.0,GINCKO + NEURO CAJA X 60 BLIST X 10,0.0,,,,,,,,,,,,0.0,54.0,9.34,,2025-12-01,0.0,,2024-12-01,7.0,10.0,7.0,3.0,27.0,6.75,27.0,54.0
74.0,GINSENG ESENCIAL FCO 75 ML,1.0,,,,,,,,,,,,1.0,7.0,26.0,,2028-06-01,3.0,,2024-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
75.0,GLICITOS L (AMBROXOL+LORATADINA)120 ML SELEC,1.0,,,,,,,,,,,,1.0,7.0,37.0,,2026-09-01,3.0,3.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
