No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES, FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
11,ALBENDAZOL 200MG/5ML SUSP SELECPHARMA,5.0,,,,,,,,,,,,5.0,27.0,8.0,,2027-05-01,14.0,6.0,2025-03-01,3.0,2.0,5.0,6.0,16.0,4.0,16.0,32.0
12,ALCOHOL 120 ML ENFERMERITA 50 %,20.0,1.0,1.0,,1.0,,1.0,,,,,,16.0,4.0,2.5,,2026-09-01,10.0,10.0,2025-03-01,4.0,1.0,1.0,4.0,10.0,2.5,10.0,20.0
13,ALERMINE CORT CAJA X 10 TABS,19.0,5.0,,,1.0,,,,,,,,13.0,33.0,10.0,,2029-08-01,1.0,,2025-02-01,9.0,4.0,4.0,6.0,23.0,5.75,23.0,46.0
14,ALERMINE CORT JBE 60 ML,1.0,,,,,,,,,,,,1.0,7.0,65.0,,2028-04-01,1.0,,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
15,AMOXI+ACIDO CLAV 250MG SUSP 60 ML SELEC LEVECILIN,2.0,,,,,,,,,,,,2.0,6.0,59.0,,2026-04-01,0.0,,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
16,AMOXI+CLAV 875/125 CAJA X 14 TABS LEVECILIN AC BID,2.0,,,,,,,,,,,,2.0,6.0,72.0,,2026-07-01,0.0,,2024-11-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
17,AMOXICILINA 250 MG/ 120 ML SELECT,5.0,,,,,,,,,,,,5.0,5.0,19.0,,2028-07-01,0.0,3.0,2025-03-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
18,AMOXIPLUS 625 MGS (AMOX+CLAV) BALAXI CAJA X 14,0.0,,,,,,,,,,,,0.0,12.0,22.5,,2026-10-01,0.0,,2025-01-01,1.0,2.0,1.0,2.0,6.0,1.5,6.0,12.0
19,ANTIGRIP SOBRE X 4 TAB DISP X 100 ,8.0,,,,,,,,,,,,8.0,14.0,6.0,,2027-01-01,0.0,5.0,2025-03-01,1.0,4.0,3.0,3.0,11.0,2.75,11.0,22.0
20,ANTIGRIPITO INFANIL JBE 60 ML,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
21,ANTIGRIPITO SOBRE X 4 TAB DISP X 100,5.0,,,,,,,,,,,,5.0,9.0,4.5,,2026-03-01,0.0,,2025-01-01,2.0,2.0,1.0,2.0,7.0,1.75,7.0,14.0
22,ATORVASTATINA 40 MG SELEC (CARTOR) CJ X 20 BLIST X 10,2.0,,,,,,,,,,,,2.0,10.0,47.0,,2026-08-01,1.0,,2025-01-01,2.0,1.0,2.0,1.0,6.0,1.5,6.0,12.0
23,AZITROMICINA 500 MGS CAJA X 3 UMEDICA,7.0,,,,,,,,1.0,,1.0,,5.0,15.0,15.0,,2026-04-01,7.0,12.0,2025-03-01,1.0,1.0,6.0,2.0,10.0,2.5,10.0,20.0
24,AZITROMICINA 500 MGS CAJA X 5 SELECT,5.0,,,,,,1.0,,,,,,4.0,4.0,27.0,,2028-07-01,3.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
25,BABY OR NOT PRUEBA DE EMBARAZO DISMEV,6.0,,,,,,1.0,,,,,,5.0,11.0,10.0,,2025-07-01,6.0,,2025-02-01,2.0,1.0,3.0,2.0,8.0,2.0,8.0,16.0
26,BETAMETASONA .05%+ACIDO SALICI 3% SELEC TUBO,3.0,,,,,,,,,,,,3.0,7.0,23.0,B Y F,2027-06-01,3.0,,2025-02-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
27,BIFONEX  CREMA 1% 15G SELEC TUBO,2.0,,,,,,,,,,,,2.0,6.0,34.0,,2028-09-01,0.0,,2024-05-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
28,BIFONEX  SPRAY 1% 40 G SELEC,1.0,,,,,,,,,,,,1.0,-1.0,59.0,,2025-08-01,0.0,,2024-05-01,,,,,0.0,0.0,0.0,0.0
29,BISALEX LAXANTE BLISTER X 10,89.0,,10.0,,,20.0,,,,,10.0,,49.0,83.0,1.0,SOLER,2026-06-01,5.0,,2024-12-01,6.0,16.0,4.0,40.0,66.0,16.5,66.0,132.0
30,BOSMAN  CAJA X 16 SOBRE X 3 CONDONES,9.0,,,,,,,,,,,,9.0,15.0,1.67,,2026-01-01,6.0,,2024-11-01,3.0,3.0,3.0,3.0,12.0,3.0,12.0,24.0
31,BROMURO DE OTILONIO CAJA X 30 BLIST X 15,33.0,,,,,,,,,,,,33.0,59.0,3.8,GABRIEL,2026-11-01,1.0,1.0,2025-03-01,15.0,17.0,12.0,2.0,46.0,11.5,46.0,92.0
32,BRONCOMAT 15 ML SOL/PARA RAESPIRAR,3.0,,,,,,,,,,,,3.0,7.0,58.0,SOLER,2026-05-01,2.0,2.0,2025-03-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
33,BRONCUROL NF BLIST X 10 TABS,90.0,,,,,,,,,,,,90.0,6.0,2.5,ROSADEL,2026-04-01,0.0,,2025-02-01,4.0,10.0,18.0,16.0,48.0,12.0,48.0,96.0
34,CALAMINA LOCION 100ML CAPLIN,2.0,,,,,,,,,,,,2.0,10.0,14.0,,2027-06-01,1.0,,2025-01-01,2.0,1.0,2.0,1.0,6.0,1.5,6.0,12.0
35,CEFADROXILO 250MG/60ML SUS SELEC,5.0,,,,,,,,,,,,5.0,3.0,22.0,SOLER,2028-04-01,0.0,,2023-08-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
36,CEFADROXILO 500MG BLIS X 10 CAJA 50 TAB SELECT,5.0,,,,,,,,,,,,5.0,3.0,15.0,,2026-10-01,0.0,,2024-11-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
37,CEFIXIMA 400 MG CAJA X 5 CAPS SELEC,2.0,,,,,,,,1.0,,,,1.0,4.4,52.0,,2027-07-01,0.0,,2024-12-01,0.3,0.4,1.0,1.0,2.7,0.675,2.7,5.4
38,CIKRASEL 40G SPRAY,1.0,,,,,,,,,,,,1.0,7.0,66.0,,2026-08-01,2.0,,2024-08-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
39,CIKRASEL CREMA TUBO 30GMS,1.0,,,,,,,,,,,,1.0,7.0,35.0,,2027-06-01,1.0,1.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
40,CIPROFIBRATO 100MG BLISTER X 10 CAJA X 30 SELEC,6.0,,,,,,,,,,,,6.0,26.0,33.0,,2028-04-01,3.0,2.0,2025-03-01,2.0,9.0,2.0,3.0,16.0,4.0,16.0,32.0
41,CIPROFLOXACINA 500 MGS BLIST X 10 CAJA X 100,9.0,,1.0,,,,1.0,,,,,,7.0,7.0,7.0,,2026-02-01,1.0,1.0,2025-03-01,1.0,1.0,3.0,2.0,7.0,1.75,7.0,14.0
42,CIRUELAX 75 MG BLISTER X 10  GARDEN,37.0,,,,,,,,,,,,37.0,7.0,2.5,,2026-05-01,2.0,,2025-02-01,6.0,1.0,10.0,5.0,22.0,5.5,22.0,44.0
43,CIRUELAX FORTE CAJA X 24 BLIST X 12,44.0,,,,4.0,,,,,1.0,1.0,,38.0,-2.0,4.33,,2025-07-01,0.0,,2025-01-01,3.0,2.0,7.0,6.0,18.0,4.5,18.0,36.0
44,CLINDAMICINA 300 MG BLISTER X 10 MED PHARMA,6.0,,,,,,,,,,,,6.0,6.0,32.0,,2027-05-01,4.0,,2025-02-01,2.0,1.0,1.0,2.0,6.0,1.5,6.0,12.0
45,CLORA+DEXA+NAFA GOTAS SELEC,3.0,,,,,,,,,,,,3.0,7.0,28.0,B Y F,2026-07-01,3.0,,2025-02-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
46,CLORANF+DEXAMETASONA COLIRIO 15 ML SELEC,4.0,,,,,,,,,,,,4.0,6.0,24.0,B Y F,2026-08-01,1.0,,2025-02-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
47,CLORANFENICOL 0.5% GOTAS 15 ML SELEC,2.0,,,,,,,,,,,,2.0,8.0,16.0,,2026-05-01,0.0,,2025-02-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
48,CLORFENIRAMINA 10 MG AMP SELEC,6.0,,,,,,1.0,,,,,,5.0,9.0,3.5,,2027-11-01,0.0,,2024-04-01,1.0,3.0,2.0,1.0,7.0,1.75,7.0,14.0
49,CLORFENIRAMINA 4 MG BLIS X 20 SELEC CAJA X 100,4.0,,,,,,,,,,,,4.0,12.0,4.0,,2028-05-01,2.0,,2025-02-01,3.0,1.0,2.0,2.0,8.0,2.0,8.0,16.0
50,CLORFENIRAMINA MALEATO 2MG JBE. SELECT,3.0,,,,,,,,2.0,,,,1.0,13.0,10.0,,2028-08-01,3.0,3.0,2025-03-01,1.0,2.0,2.0,2.0,7.0,1.75,7.0,14.0
51,CLOROMILAN CAJA X 102,110.0,,,,,2.0,,,,2.0,,,106.0,-74.0,1.0,,2027-04-01,0.0,,2025-02-01,6.0,3.0,3.0,4.0,16.0,4.0,16.0,32.0
52,CLOTRIMAZOL 1 % CREMA 20 GRS SELEC,2.0,,,,,,,,,,,,2.0,10.0,10.0,,2028-09-01,0.0,,2025-02-01,2.0,2.0,1.0,1.0,6.0,1.5,6.0,12.0
53,CLOTRIMAZOL 1 % GEL TOPICO TUBO 20 GRS BALAXI,2.0,,,,,,,,,,,,2.0,2.0,9.0,,1930-04-01,2.0,,2025-02-01,,,1.0,1.0,2.0,0.5,2.0,4.0
54,CLOTRIMAZOL OV VAG 100 MG CAJA X 6 CAPLIN,2.0,,,,,,1.0,,,,,,1.0,7.0,20.0,,2026-12-01,2.0,,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
55,CLOTRIPLEX TUBO 15 GMS ,2.0,,,,,,,,,,,,2.0,6.0,16.0,,2027-05-01,2.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
56,COFAL FORTE TARRO 60 GRS ROJO,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0
57,COFAL TARRO 60 GRS AZUL,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0
58,COLAGENO CAJA X 100 CAP GEL BLISTER X 10,11.0,,,,,,,,,,,,11.0,3.0,17.0,,2025-08-01,0.0,1.0,2025-03-01,3.0,1.0,2.0,1.0,7.0,1.75,7.0,14.0
59,COLCHICINA 0.5 MG BLISTER X 20 CAJA X 100  SELEC,8.0,,,,,,,,,,,,8.0,2.0,20.0,,2028-02-01,1.0,2.0,2025-03-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
60,COLCHICINA 0.5MG BLISTER X 10 CAPLIN,8.0,,,,,,,,,,,,8.0,20.0,10.0,,2026-07-01,0.0,,2024-02-01,1.0,10.0,2.0,1.0,14.0,3.5,14.0,28.0
61,COLECTOR DE HECES C/PALETA 60ML,13.0,,,,,,,,,,,,13.0,5.0,3.0,,,21.0,,2025-02-01,3.0,2.0,2.0,2.0,9.0,2.25,9.0,18.0
62,COLECTOR DE ORINA 120ML,11.0,,,,,,,,,,,,11.0,29.0,3.0,,,20.0,20.0,2025-03-01,11.0,1.0,3.0,5.0,20.0,5.0,20.0,40.0
63,COLECTOR ORINA PEDIATRICO BOLSA OPERSON,2.0,,,,,,,,,,,,2.0,16.0,3.0,,2027-03-01,2.0,,2024-11-01,1.0,2.0,3.0,3.0,9.0,2.25,9.0,18.0
64,CROSPOVIDONA 20%  SUSP 60 ML SELEC,1.0,,,,,,,,,,,,1.0,7.0,58.0,,2027-03-01,0.0,,2024-10-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
65,CYCLOFEM AMPOLLA PANAL 1 ML,2.0,,,,,,,,,,,,2.0,4.0,40.0,,2027-10-01,0.0,,2025-02-01,,1.0,1.0,1.0,3.0,0.75,3.0,6.0
66,DENGUINA CAJA X 100 BLIST X 10 ,68.0,,,,,,,,,,,,68.0,56.0,1.0,,2026-11-01,1.0,,2024-09-01,20.0,20.0,2.0,20.0,62.0,15.5,62.0,124.0
67,DEXA+NEOMICINA 1 % OFTALMICA SELEC,2.0,,,,,,,,,,,,2.0,8.0,26.0,,2026-10-01,2.0,,2025-02-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
68,DEXAMETASONA AMPOLLA 8 MG CAPLIN,12.0,,1.0,2.0,,,1.0,,2.0,,,,6.0,64.0,4.0,,2027-08-01,5.0,6.0,2025-03-01,11.0,12.0,6.0,6.0,35.0,8.75,35.0,70.0
69,DEXANERVISEL KIT ,3.0,,,,,,,,,,,,3.0,11.0,19.0,,2027-04-01,2.0,,2024-12-01,1.0,2.0,1.0,3.0,7.0,1.75,7.0,14.0
70,DEXASEL 0.5 MG BLISTR X 20 SELEC (DEXAMETASONA),0.0,,,,,,,,,,,,0.0,0.0,0.95,BENDIC,,,,,,,,,,,,
71,DICLOFENACO 1% GEL TUBO 20 GR SELECT,2.0,,,,,,,,,,,,2.0,8.0,12.0,,2027-05-01,2.0,,2024-09-01,1.0,1.0,1.0,2.0,5.0,1.25,5.0,10.0
72,DICLOFENACO 1% GEL TUBO 25 GR BALAXI,2.0,,,,,,,,,,,,2.0,8.0,9.0,,2027-01-01,5.0,,2025-01-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
73,DICLOFENACO ACIDO LIBRE 9MG FCO 120 ML SELE,4.0,,,,,,,,,,,,4.0,6.0,20.0,,2027-06-01,2.0,,2025-01-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
74,DICLOFENACO AMPOLLA 75 MGS,17.0,,,3.0,,,,,,,,,14.0,34.0,4.0,,2026-05-01,20.0,30.0,2025-03-01,9.0,8.0,4.0,3.0,24.0,6.0,24.0,48.0
75,DICLOFENACO POT 50 MGS BLIST X 10 CAJA X 100 SELEC,35.0,,,,,,,,2.0,,,,33.0,3.0,2.5,,2025-10-01,4.0,2.0,2025-03-01,6.0,4.0,6.0,2.0,18.0,4.5,18.0,36.0
76,DOLOFOR 500 MGS (DIPIRONA MAGNESICA) BLIST X 10,2.0,,,,,,,,,,,,2.0,50.0,2.0,,2027-03-01,0.0,2.0,2025-03-01,10.0,3.0,3.0,10.0,26.0,6.5,26.0,52.0
77,DOLONERVISEL BLIST X 10 CAJA X 100,10.0,,,,,,,,,,,,10.0,4.0,11.0,,2027-06-01,0.0,1.0,2025-03-01,1.0,2.0,2.0,2.0,7.0,1.75,7.0,14.0
78,DROPA GEL (KETOPROFENO 2.5%) 50G,1.0,,,,,,,,,,,,1.0,9.0,40.0,,2027-06-01,2.0,,2025-02-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
79,EFFCEE + ZINC  CAJA X 12 TAB. SOBRE X 4,2.0,,,,,,,,,,,,2.0,36.0,18.0,,2026-01-01,4.0,4.0,2025-03-01,12.0,3.0,2.0,2.0,19.0,4.75,19.0,38.0
80,ENALAPRIL 10 MGS BLISTER X 20  CAJA X 100 SELEC,11.0,,,,,,,,,,,,11.0,5.0,8.0,,2026-07-01,0.0,,2025-02-01,2.0,2.0,3.0,1.0,8.0,2.0,8.0,16.0
81,ENALAPRIL 20 MG BLISTER X 10 CAJA X 100  CAPLIN,24.0,,,,,,,,,,,,24.0,-4.0,3.5,B Y F,2026-11-01,0.0,,2025-01-01,1.0,1.0,2.0,6.0,10.0,2.5,10.0,20.0
82,ESOMEPRAZOL 40 MG BLIS X 10  CAJA X 100 BALAXI,9.0,,,,,1.0,1.0,,,,,,7.0,9.0,20.0,S FCO,2026-09-01,1.0,,2025-01-01,2.0,3.0,1.0,2.0,8.0,2.0,8.0,16.0
83,EX -FLU ANTIGRIPAL GOTAS 30ML SELEC,2.0,,,,,,,,,,,,2.0,6.0,25.0,,2028-01-01,0.0,2.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
84,EX -FLU TOS 120 ML SELEC,5.0,,,1.0,,,,,,,,,4.0,4.0,41.0,B Y F,2027-08-01,5.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
85,EXFLU AMPOLLA PANAL SELEC ,5.0,,,,,,,,,,,,5.0,7.0,8.0,,2027-09-01,0.0,5.0,2025-03-01,2.0,1.0,1.0,2.0,6.0,1.5,6.0,12.0
86,EXFLU ANTIGRIPAL BLISTER X 10 CAJA X 70,84.0,,,,,,,,,,10.0,,74.0,36.0,0.9,B Y F,2027-12-01,0.0,,2025-02-01,30.0,10.0,5.0,10.0,55.0,13.75,55.0,110.0
87,EX-FLU KIT AMPOLLA SELEC,3.0,,,,,,,,,,,,3.0,5.0,20.0,,2027-09-01,2.0,,2025-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
88,EX-FLU NIÑOS SINUS 120 ML,2.0,,,,,,,,,,,,2.0,6.0,23.0,,2026-05-01,0.0,,2024-12-01,2.0,,1.0,1.0,4.0,1.0,4.0,8.0
89,FAMOTIDINA 40 MG CAJA X 100 TAB CAPLIN ,5.800000000000001,,,,,,,,,,,,5.800000000000001,8.2,5.0,,2026-05-01,0.0,,2025-01-01,2.0,1.0,3.0,1.0,7.0,1.75,7.0,14.0
90,FERROCITON B CAJA X 10 AMP BEBIBLES,1.0,,,,,,,,,,,,1.0,7.0,75.0,,2026-06-01,0.0,,2024-08-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
91,FLUCONAZOL 150 MGS CAJA X 2 CAPS SELEC,3.0,,,,1.0,2.0,,,,,,,0.0,20.0,6.0,,2027-05-01,1.0,,2025-01-01,2.0,2.0,3.0,3.0,10.0,2.5,10.0,20.0
92,FLUCONAZOL 200 MG  X 2 CAP. CAPLIN,3.0,,,,,,,,,,,,3.0,11.0,6.0,,2026-08-01,5.0,5.0,2025-03-01,1.0,1.0,1.0,4.0,7.0,1.75,7.0,14.0
93,FLUCONAZOL 200 MG X 4 CAPS HIPERFARMA,6.0,2.0,,,,,,,2.0,,,,2.0,18.0,15.0,,2026-11-01,12.0,,2025-02-01,2.0,2.0,2.0,4.0,10.0,2.5,10.0,20.0
94,FLUCONAZOL 200MG SELECT X2 TAB CAJA,4.0,,,,,,,,,,,,4.0,8.0,8.0,,2028-03-01,6.0,,2025-02-01,1.0,2.0,2.0,1.0,6.0,1.5,6.0,12.0
95,FLUFIN ALERGIAS CAJA X 50 BLIS X 10 GEL BLANDA,105.0,,,,3.0,,,,,,,,102.0,-14.0,1.2,,2026-11-01,1.0,1.0,2025-03-01,10.0,23.0,8.0,3.0,44.0,11.0,44.0,88.0
96,FLUFIN AM SOBRE 2 GEL CAPS CAPLIN,10.0,,,,,,,,,,,,10.0,34.0,3.5,B Y F,2025-11-01,0.0,,2024-03-01,4.0,7.0,2.0,9.0,22.0,5.5,22.0,44.0
97,FUROSEMIDA 20 MG AMPOLLA 2 ML CAPLIN,4.0,,,,,,,,,,,,4.0,6.0,4.0,,2026-01-01,0.0,,2023-11-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
98,FUROSEMIDA 40 MG CAJA X 100 BLIST X 10 CAPLIN,13.0,,1.0,,1.0,,,,,,,,11.0,5.0,3.0,,2027-03-01,1.0,1.0,2025-03-01,3.0,2.0,1.0,2.0,8.0,2.0,8.0,16.0
99,FUROSEMIDA 40MG BLISTER X 10 SELEC,2.0,,,,,,,,,,,,2.0,8.0,5.0,B Y F,2029-02-01,0.0,,2025-01-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
100,GENTAMICINA 80 MG/2ML AMPOLLA CAPLIN ,8.0,,,,,,,,,,,,8.0,6.0,3.0,,2026-03-01,10.0,,2025-01-01,2.0,3.0,1.0,1.0,7.0,1.75,7.0,14.0
101,GLIBENCLAMIDA 5 MG   BLISTER X 20 CAJA X 100 SELEC,4.0,,,,2.0,,,,,,,,2.0,20.0,4.0,,2027-10-01,0.0,1.0,2025-03-01,3.0,3.0,3.0,2.0,11.0,2.75,11.0,22.0
102,GLIMEPIRIDA 4 MG BLISTER X 10 CAJA X 100 CAPLIN,9.0,,,,1.0,,,,,,,,8.0,6.0,6.0,,2026-07-01,0.0,,2025-02-01,2.0,3.0,1.0,1.0,7.0,1.75,7.0,14.0
103,GOTERO PLASTICO,3.0,,,,,,,,,,,,3.0,7.0,4.0,,,6.0,,2025-02-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0
104,GUAYACOLATO CON JBE.TOLU 120ML MENTOL HIPERFARM,2.0,,,,,,,,,,,,2.0,10.0,24.0,,2027-02-01,3.0,,2025-02-01,1.0,1.0,1.0,3.0,6.0,1.5,6.0,12.0
105,HIDROCORTISONA 0.25 SELEC ,2.0,,,,1.0,,,,,,,,1.0,7.0,16.0,,2027-07-01,0.0,,2024-11-01,2.0,,1.0,1.0,4.0,1.0,4.0,8.0
106,HIDROCORTIZONA 1% CREMA 30 GRS SELEC,2.0,,,,,,,,,,,,2.0,6.0,20.0,B Y F,2027-09-01,4.0,,2025-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
107,HIERRO +ACIDO FOLICO X 30 TAB. SELEC,4.0,,,,,,,,,,,,4.0,4.0,17.0,B Y F,2027-06-01,0.0,,2024-11-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
108,IBUPROFEN 100MG/5ML SUSP SELEC,5.0,,,,,,,,,,,,5.0,5.0,14.0,,2028-07-01,2.0,2.0,2025-03-01,1.0,1.0,2.0,1.0,5.0,1.25,5.0,10.0
109,IBUPROFENO+METOCARBA CAJA X 30 BLIST X 10 ,134.0,10.0,3.0,,,,4.0,,,,10.0,,107.0,105.0,1.9,,2027-06-01,2.0,5.0,2025-03-01,38.0,20.0,21.0,27.0,106.0,26.5,106.0,212.0
110,IRBERSARTAN 150 MGS CAJA X 30 BLIST X 10 SELEC,7.0,,1.0,,,,,,,,,,6.0,4.0,28.0,,2028-06-01,4.0,,2025-02-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
111,IRBERSARTAN 300 MG CAJA X 30 BLIST X 10  SELEC,5.0,,,,,,,,,,,,5.0,3.0,33.0,,2026-07-01,0.0,,2024-10-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
112,IRBESARTAN 150/12.5MG HIDROCLO X 30 TABS CAPLIN,5.0,,,,,,,,,,,,5.0,3.0,38.33,,2025-09-01,0.0,,2024-06-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
113,KETOROLACO 60MG/2ML AMPOLLA VIJOSA,4.0,,,,,,,,,,,,4.0,16.0,13.0,,2025-10-01,8.0,8.0,2025-03-01,1.0,4.0,3.0,2.0,10.0,2.5,10.0,20.0
114,LAGRIMAS OCULARES GRS 15 ML GOTAS SELEC,0.0,,,,,,,,,,,,0.0,8.0,30.0,GABRIEL,2027-04-01,0.0,,2024-11-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
115,LANSOPRAZOL 30 MGS CAJA X 100 BLIST X 10 LOTUS,253.0,,20.0,,,20.0,,,6.0,,40.0,,167.0,599.0,0.7,,2026-08-01,5.0,6.0,2025-03-01,2.0,153.0,142.0,86.0,383.0,95.75,383.0,766.0
116,LEVOFLOXACINA 500 MG BLIST X 10 SELEC UMEDICA,4.0,,,,,,,,,,,,4.0,10.0,28.0,SOLER,2026-10-01,3.0,,2024-12-01,1.0,2.0,2.0,2.0,7.0,1.75,7.0,14.0
117,"LIDOCAINA 1% 3,5 ML PROMEGAL",10.0,,,,,,,,,,,,10.0,10.0,3.0,,2026-06-01,0.0,,2025-01-01,3.0,3.0,2.0,2.0,10.0,2.5,10.0,20.0
118,LIDOCAINA 2% CAPLIN 3ML,18.0,,,,,1.0,,,,,,,17.0,5.0,3.0,,2026-08-01,0.0,,2025-02-01,1.0,4.0,3.0,3.0,11.0,2.75,11.0,22.0
119,LOPERAMIDA 2MG CAJA X 100 BLIST X 20 SELECT,7.0,1.0,,,1.0,,,,,1.0,1.0,,3.0,15.0,10.0,,2028-08-01,1.0,2.0,2025-03-01,2.0,1.0,2.0,4.0,9.0,2.25,9.0,18.0
120,LOSARTAN 100 MG BLIS X 10 CAJA X 100 BALAXI,6.0,,,,,,,,,,,,6.0,6.0,7.0,,2026-03-01,0.0,,2024-12-01,2.0,1.0,1.0,2.0,6.0,1.5,6.0,12.0
