No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES,2 MESES.1
39,MANTECA DE CACAO MENTOLADA LATA ,2.0,,,,,,,,,,,,2.0,4.0,16.0,,2026-05-01,0.0,,2024-02-01,,1.0,1.0,1.0,3.0,0.75,3.0,6.0,
40,MASCARILLA NEBULIZAR  (NEONATO) OPERSON,1.0,,,,,,,,,,,,1.0,1.0,29.0,,2028-06-01,0.0,,2024-06-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0,
41,MASCARILLA NEBULIZAR  (NIÑO) OPERSON,1.0,,,,,,,,,,,,1.0,7.0,29.0,,2028-08-01,4.0,,2024-06-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0,
42,MASCARILLA NEBULIZAR (ADULTO) OPERSON,1.0,,,,,,,,,,,,1.0,4.0,29.0,,2029-06-01,2.0,3.0,2025-03-01,1.0,3.0,1.0,2.0,7.0,1.75,7.0,14.0,
43,METOCLOPRAMIDA 10 MG CJX100 TAB BLIST X 10,7.8,,,,,,,,,,1.0,,6.8,-4.4,18.0,,2025-09-01,0.0,,2024-02-01,,0.2,,1.0,1.2,0.3,1.2,2.4,
44,MINISEC 1GM SOBRE BEBIBLE 5ML(SUCRALFATO),9.0,,,,,,,,,,,,9.0,3.0,6.0,,2026-01-01,0.0,,2025-01-01,4.0,1.0,,1.0,6.0,1.5,6.0,12.0,
45,NEUTRAGEL BLISTER X 10 TAB (BONIN),114.0,,,,,,,,10.0,,6.0,,98.0,-60.0,1.2,ROSADEL,2029-07-01,5.0,,2025-01-01,10.0,2.0,2.0,5.0,19.0,4.75,19.0,38.0,
46,OMEPRAZOL 40 MG VIAL IV (VITALIS),5.0,,,,,,,,,,,,5.0,3.0,30.0,,2027-04-01,3.0,,2024-07-01,1.0,,3.0,,4.0,1.0,4.0,8.0,
47,OXIDO ZINC SOBRE 28 GRS BOLSA X  16,11.0,,,,,,,,,,,,11.0,7.0,6.0,,2026-10-01,1.0,2.0,2025-03-01,1.0,4.0,1.0,3.0,9.0,2.25,9.0,18.0,
48,POSTAVIT 25 MG CJ X 25 TAB ,13.0,,,,,,,,,,,,13.0,1.0,3.0,,2025-08-01,0.0,,2023-04-01,,3.0,1.0,3.0,7.0,1.75,7.0,14.0,
