No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
115,NEUMONIL FORTE DISP X 100 BLIST X 2 TAB ,17.0,1.04,1.75,0.4057142857142857,17.68,29.75
116,NEUMONIL G X 60 TABS,44.0,1.52,2.5,0.392,66.88,110.0
117,OJO DE AGUILA GOTAS,4.0,9.1,16.0,0.43125,36.4,64.0
118,OPTICLUDE REG CAJA X 20 UNID NEXCARE,0.0,1.687,4.0,0.5782499999999999,0.0,0.0
119,ORFENGESIC (ORFE/PARAC) BLIST X 10 CAJA X 20,2.0,3.59,6.0,0.40166666666666667,7.18,12.0
120,OTIK GOTAS,5.0,13.5,23.0,0.41304347826086957,67.5,115.0
121,PANADOL MUJER DISP. X 48 TAB (24 SOBRES),0.0,1.83,3.0,0.38999999999999996,0.0,0.0
122,PANADOL NIÑOS DISP X 100 TAB MASTIC,51.0,0.61,1.0,0.39,31.11,51.0
123,PANCLASA PAGUE 30 LLEVE 40 BLISTER X 10,2.0,33.99,50.0,0.3202,67.98,100.0
124,PARCHE LEON,1.0,20.75,33.0,0.3712121212121212,20.75,33.0
125,PASIFLORA COMP CAJA X 30 BLISTER X 10,38.0,1.69,2.7,0.3740740740740741,64.22,102.60000000000001
126,PEZONERA DE VIDRIO EDIGAR,1.0,12.0,20.0,0.4,12.0,20.0
127,PIOJINA SHAMPOO 60 ML SNTE,2.0,7.25,13.0,0.4423076923076923,14.5,26.0
128,POMADA GMS 12 GRS,3.0,8.4,14.0,0.39999999999999997,25.200000000000003,42.0
129,POMADA GMS TARRO 50 GRS,1.0,31.25,49.0,0.3622448979591837,31.25,49.0
130,RELAFLEX KIT AMPOLLA VIJOSA,0.0,24.93,45.0,0.446,0.0,0.0
131,REUMETAN CREMA 30 GRS. TUBO ,1.0,22.75,35.0,0.35,22.75,35.0
132,REUMETAN S 25 MG BLIST X 10 CAJA X 100,10.0,4.75,8.0,0.40625,47.5,80.0
133,ROWACHOL BLISTER X 10 CAJA X 50 GEL CPAS,16.0,3.473,6.0,0.4211666666666667,55.568,96.0
134,ROWATINEX PERLAS AMARILLAS BLI X 10,50.0,4.76,7.5,0.36533333333333334,238.0,375.0
135,SCUDO NATURAL CAJA X 3 ,2.0,7.8,14.0,0.4428571428571429,15.6,28.0
136,SCUDO ORO ESTRIADO CAJA X 3,0.0,14.3,24.0,0.4041666666666666,0.0,0.0
137,SCUDO ORO RETARDANTE CAJA X 3,2.0,14.17,24.0,0.40958333333333335,28.34,48.0
138,SINSUEÑO BLIST X 10 ,114.0,0.6,1.0,0.4,68.39999999999999,114.0
139,SOLUCION SALINA ISOTONICA LITRO,1.0,13.91,22.0,0.36772727272727274,13.91,22.0
140,SOLUCION SALINA PARA NEBULIZAR 250 ML,2.0,9.61,16.0,0.39937500000000004,19.22,32.0
141,SOLUTINA GOTAS OFTALMICAS,0.0,16.29,26.0,0.3734615384615385,0.0,0.0
142,SUDAGRIP CAJA X 12 CAPSULAS,0.0,1.03,2.5,0.588,0.0,0.0
143,SUERO MIXTO 5% FCO 500 ML,1.0,11.04,19.0,0.4189473684210527,11.04,19.0
144,TABCIN AD FM EF DISPEN X 72 SOBRES(CELESTE),41.0,1.26,2.5,0.496,51.660000000000004,102.5
145,TABCIN EXTRA FUERTE X 60 EFERV (ROJO),65.0,1.47,2.5,0.41200000000000003,95.55,162.5
146,TABCIN FLEMA Y CONGESTION CAJA X 30,42.0,3.13,5.0,0.374,131.46,210.0
147,TABCIN GRIPE Y TOS LIQUID GEL X 30,50.0,3.02,5.0,0.396,151.0,250.0
148,TABCIN GRIPE Y TOS X 60 TABS EFERV (MORADO),37.0,1.51,2.5,0.396,55.87,92.5
149,TABCIN LIQUID GEL DIA X 30,33.0,3.27,5.0,0.346,107.91,165.0
150,TABCIN LIQUID GEL NOCHE X 30,45.0,3.39,5.0,0.32199999999999995,152.55,225.0
151,TABCIN NIÑOS DISP X 48 BLIST X 12 MASTIC,35.0,0.9,1.5,0.39999999999999997,31.5,52.5
152,TABCIN NIÑOS X 60 EFERV,56.0,1.21,2.0,0.395,67.75999999999999,112.0
153,TALCO DERMO-G11 300 GRS,2.0,14.25,25.0,0.43,28.5,50.0
154,TALCO SUDORIN 110 GRS,1.0,11.5,18.0,0.3611111111111111,11.5,18.0
155,TENSIL 25 MG CAJA X 40 BLIST X 20,89.0,2.21,4.3,0.48604651162790696,196.69,382.7
156,TERMOMETRO DE CINTA MEDITEM FRONT,2.0,15.55,25.0,0.37799999999999995,31.1,50.0
157,TIAMINA 100 MG FCO X 10  ML PIERSAN,0.0,9.0,15.0,0.4,0.0,0.0
158,TINTURA DE YODO NEGRO 1 ONZ,2.0,11.25,19.0,0.40789473684210525,22.5,38.0
159,TIRA LECHE DE VIDRIO,1.0,25.0,39.0,0.358974358974359,25.0,39.0
160,UNI-PULMIN ANTIGRIPAL CAJA X 25 SOBRES,0.0,2.29,3.5,0.3457142857142857,0.0,0.0
161,VICK TARRO 100 GRS,1.0,41.11,68.0,0.39544117647058824,41.11,68.0
162,VICK TARRO 50 GRS,2.0,22.98,38.0,0.3952631578947368,45.96,76.0
163,VIRO GRIP GRIPE Y TOS JBE 120 ML,4.0,19.86,35.0,0.4325714285714286,79.44,140.0
164,VITAFLENACO GEL TOPICA 20 G,1.0,22.8,38.0,0.39999999999999997,22.8,38.0
165,VITAL FUERTE 10 AMP BEB 10 ML,0.0,3.9,5.8,0.3275862068965517,0.0,0.0
166,"VITANERVO 25,000 KIT AMP PIERSAN ",2.0,9.85,19.0,0.48157894736842105,19.7,38.0
167,VITAPYRENA DISP X50,24.0,2.086,3.5,0.404,50.06399999999999,84.0
168,VITAPYRENA FORTE DISP X50,28.0,3.73,6.0,0.37833333333333335,104.44,168.0
169,XICONEURAL CAJA X 30 INDUCTOR DEL SUEÑO,28.0,1.18,2.5,0.528,33.04,70.0
170,XIRMEN 4 MG /2 ML X 1 AMP INYECT ,2.0,28.25,48.0,0.4114583333333333,56.5,96.0
171,ZORRITONE CARAMELO JENGIBRE POWER X 100,22.0,0.36,0.75,0.52,7.92,16.5
