No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,  ,1 MES,2 MESES
107,NAUSEOL SUSP JBE FCO 60 ML,2.0,,,,,,,,,,,,2.0,4.0,72.0,,2026-05-01,1.0,,2025-02-01,1.0,1.0,,1.0,3.0,0.75,3.0,6.0
108,NEO GRIPINA 500 MG INYECTADO,0.0,,,,,,,,,,,,0.0,8.0,8.0,,2026-02-01,0.0,,2022-04-01,,2.0,1.0,1.0,4.0,1.0,4.0,8.0
109,NEOFEBRINA JARABE 100 ML ,1.0,,,,,,,,,,,,1.0,7.0,34.0,,2027-02-01,2.0,2.0,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
110,NEOFEBRINA SUPOSITORIO NIÑOS 300 MGS CAJA X 5,5.0,,,,,,,,,,,,5.0,3.0,12.0,,2025-02-01,0.0,,2023-09-01,1.0,2.0,,1.0,4.0,1.0,4.0,8.0
111,NEOMELUBRINA CAJA X 5 SUPOSITORIOS,5.0,,,,,,,,5.0,,,,0.0,14.0,11.0,,2026-04-01,0.0,,2024-05-01,2.0,2.0,2.0,1.0,7.0,1.75,7.0,14.0
112,NEOMELUBRINA JBE 100 ML ,2.0,,,,,,,,1.0,,,,1.0,9.0,79.0,,2026-07-01,0.0,,2024-05-01,1.0,2.0,1.0,1.0,5.0,1.25,5.0,10.0
113,NERVADEN CAJA X 30 BLIST X 10 CAPS,33.0,,,,,,,,,,,,33.0,13.0,4.4,,2026-07-01,0.0,,2025-02-01,,10.0,3.0,10.0,23.0,5.75,23.0,46.0
114,NERVIFEN BLIST X 10 CAJA X 30 PHENIEL,26.0,,,,,,,,,,,,26.0,54.0,1.2,,2026-08-01,0.0,,2025-01-01,10.0,10.0,10.0,10.0,40.0,10.0,40.0,80.0
115,NEUMONIL FORTE DISP X 100 BLIST X 2 TAB ,17.0,,2.0,,,,6.0,4.0,,,,,5.0,75.0,1.75,,2026-04-01,0.0,,2024-12-01,2.0,12.0,22.0,4.0,40.0,10.0,40.0,80.0
116,NEUMONIL G X 60 TABS,44.0,,,,,,,,4.0,,,,40.0,-12.0,2.5,,2026-01-01,0.0,,2024-12-01,6.0,2.0,2.0,4.0,14.0,3.5,14.0,28.0
117,OJO DE AGUILA GOTAS,4.0,,,,1.0,,,,,,,,3.0,19.0,16.0,,2027-11-01,6.0,3.0,2025-03-01,2.0,4.0,3.0,2.0,11.0,2.75,11.0,22.0
118,OPTICLUDE REG CAJA X 20 UNID NEXCARE,0.0,,,,,,,,,,,,0.0,22.0,4.0,PENDIE,2027-05-01,0.0,,2023-04-01,2.0,3.0,4.0,2.0,11.0,2.75,11.0,22.0
119,ORFENGESIC (ORFE/PARAC) BLIST X 10 CAJA X 20,2.0,,,,,,,,,,,,2.0,30.0,6.0,,2026-01-01,0.0,,2024-03-01,1.0,11.0,2.0,2.0,16.0,4.0,16.0,32.0
120,OTIK GOTAS,5.0,,,,,,,,,,,,5.0,7.0,23.0,,2027-02-01,11.0,6.0,2025-03-01,3.0,1.0,1.0,1.0,6.0,1.5,6.0,12.0
121,PANADOL MUJER DISP. X 48 TAB (24 SOBRES),0.0,,,,,,,,,,,,0.0,0.0,3.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0
122,PANADOL NIÑOS DISP X 100 TAB MASTIC,51.0,,,,,,3.0,,,,,,48.0,-16.0,1.0,,2026-01-01,0.0,,2025-01-01,1.0,2.0,5.0,8.0,16.0,4.0,16.0,32.0
123,PANCLASA PAGUE 30 LLEVE 40 BLISTER X 10,2.0,,,,,,,,,,,,2.0,6.0,50.0,,2028-12-01,2.0,,2025-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
124,PARCHE LEON,1.0,,,,,,,,,,,,1.0,7.0,33.0,AMICELCO,2026-06-01,3.0,,2024-11-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
125,PASIFLORA COMP CAJA X 30 BLISTER X 10,38.0,,,,,,,,,,,,38.0,6.0,2.7,,2026-07-01,2.0,,2024-11-01,4.0,1.0,14.0,3.0,22.0,5.5,22.0,44.0
126,PEZONERA DE VIDRIO EDIGAR,1.0,,,,,,,,,,,,1.0,5.0,20.0,,,1.0,,2021-04-01,1.0,,1.0,1.0,3.0,0.75,3.0,6.0
127,PIOJINA SHAMPOO 60 ML SNTE,2.0,,,,,,,,,,,,2.0,6.0,13.0,,2025-11-01,0.0,,2024-01-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
