No,ARTICULO TIENDA,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
81,PASTA DENTAL COLGATE  SENSITIVE 100 GR PRO,1,,,,,,,,,,,,1,1,53.0,WILLY,,2.0,,2022-08-01,,,,1.0,1,0.25,1,2
82,PASTA DENTAL SENSODYNE 113 GR,1,,,,,,,,,,,,1,7,60.0,WILLY,2025-07-01,2.0,,2024-09-01,1.0,1.0,1.0,1.0,4,1.0,4,8
83,PEINE FINO,14,,,,,,,,,,,,14,0,1.0,ESQUINITA,,0.0,,2024-09-01,1.0,4.0,1.0,1.0,7,1.75,7,14
84,PICAFRESAS BOLSA X 100,129,1.0,5.0,,10.0,2.0,1.0,,,,,,110,-12,1.0,SILOE,,0.0,,2025-01-01,5.0,13.0,19.0,12.0,49,12.25,49,98
85,PROTECTOR DE LABIOS CAJA X 13 PRICESMART,3,,,,,,,,,,,,3,11,13.0,PRICES,2027-05-01,0.0,,2024-12-01,,4.0,1.0,2.0,7,1.75,7,14
86,PROTECTORES  SENSATION  X 12,1,,,,,,,,,,,,1,9,4.0,ESQUINITA,,0.0,,2021-07-01,1.0,2.0,1.0,1.0,5,1.25,5,10
87,PROTECTORES KOTEX X 20,2,,,,,,,,,,,,2,6,12.0,PRICES,,7.0,,2025-02-01,1.0,1.0,1.0,1.0,4,1.0,4,8
88,PROTECTORES KOTEX X 20 EXTRA LARGO,1,,,,,,,,,,,,1,9,12.0,PRICES,,0.0,,2023-02-01,2.0,1.0,1.0,1.0,5,1.25,5,10
89,PROTECTORES PANTI KOTEX X 44,1,,,,,,,,,,,,1,7,18.0,H Y D,,4.0,,2023-09-01,1.0,1.0,1.0,1.0,4,1.0,4,8
90,RELLENITOS MIX BOLSA X 80,38,,,,,,,3.0,,,,,35,191,1.0,SILOE,2025-09-01,2.0,2.0,2025-03-01,23.0,22.0,44.0,24.0,113,28.25,113,226
91,REPELENTE OFF CREMA FAMILIAR 200 ML,1,,,,,,,,,,,,1,7,65.0,H Y D,2026-08-01,2.0,,2024-10-01,1.0,1.0,1.0,1.0,4,1.0,4,8
92,REPELENTE OFF LIQUIDO 177 ML,1,,,,,,,,,,,,1,9,50.0,ESQUINITA,2026-09-01,1.0,,2024-10-01,1.0,1.0,1.0,2.0,5,1.25,5,10
93,REPELENTE OFF SPRAY 170 GRS,1,,,,,,,,,,,,1,7,65.0,ESQUINITA,2026-05-01,3.0,,2024-10-01,1.0,1.0,1.0,1.0,4,1.0,4,8
94,RING POP,4,,,,,,,,1.0,,,,3,7,5.0,PRICES,,33.0,,2023-02-01,2.0,1.0,1.0,1.0,5,1.25,5,10
95,SHAMPOO JOHNSON 200 ML,1,,,,,,,,,,,,1,5,35.0,ESQUINITA,,0.0,,,,1.0,1.0,1.0,3,0.75,3,6
96,SHAMPOO JOHNSON 400 ML,2,,,,,,,,,,,,2,6,55.0,ESQUINITA,,3.0,,2023-05-01,1.0,1.0,1.0,1.0,4,1.0,4,8
97,SHAMPOO JOHNSON 400 ML MANZANILLA,0,,,,,,,,,,,,0,6,72.0,ESQUINITA,,0.0,,2023-01-01,1.0,1.0,,1.0,3,0.75,3,6
98,SHAMPOO TIO NACHO 415 ML ACLARANTE,1,,,,,,,,,,,,1,3,61.0,BENDICION,2026-10-01,1.0,,2025-01-01,1.0,,,1.0,2,0.5,2,4
99,SHAMPOO TIO NACHO 415 ML ANTI EDAD,1,,,,,,,,,,,,1,7,61.0,BENDICION,2026-07-01,1.0,,2024-03-01,,1.0,2.0,1.0,4,1.0,4,8
100,SHAMPOO TIO NACHO 415 ML ENGROSADOR,1,,,,,,,,,,,,1,5,61.0,BENDICION,2027-03-01,1.0,,2024-12-01,1.0,1.0,,1.0,3,0.75,3,6
101,SHAMPOO TIO NACHO 415 ML HERBOLARIA,3,1.0,,,,,,,1.0,,,,1,3,61.0,BENDICION,2027-02-01,0.0,,2025-01-01,1.0,1.0,,,2,0.5,2,4
102,SHAMPOO TIO NACHO ALOE 415 ML,1,,,,,,,,,,,,1,-1,61.0,BENDICION,2027-03-01,,,2025-01-01,,,,,0,0.0,0,0
103,SHAMPOO TIO NACHO COCO 415 ML,1,,,,,,,,,,,,1,-1,61.0,BENDICION,2027-05-01,,,2025-01-01,,,,,0,0.0,0,0
