No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
21,AZITROMICINA 500 MG CAJA X 3 TAB,9.0,8.04,18.0,0.5533333333333333,72.35999999999999,162.0
22,BENZOATO DE BENCILO FCO X 120 ML SELEC,3.0,10.8,19.0,0.431578947368421,32.400000000000006,57.0
23,BICARBONATO DE SODIO MEDIA LIBRA DISFAVIL,4.0,4.4,9.0,0.5111111111111111,17.6,36.0
24,CALCIO + VITAMINA D  BLISTER X 10 CAJA X 100 SELEC,14.0,3.56,6.0,0.4066666666666667,49.84,84.0
25,CARBAMAZEPINA 200 MG BLIST X 10 CAJA X 100 SELEC,16.0,5.0,9.0,0.4444444444444444,80.0,144.0
26,CARBAMAZEPINA 200 MGS BLIST X 10 CAJA X 100 CAPLIN,13.0,2.595,5.0,0.481,33.735,65.0
27,CEFIXIMA 100MG/5ML X FCO 60 ML ARGUS O CAPLIN,2.0,19.95,37.0,0.4608108108108108,39.9,74.0
28,CEFTRIAXONA 1G VIAL PANAL CAJA X 10 ARGUS,5.0,4.3,7.0,0.38571428571428573,21.5,35.0
29,CELECOXIB 200 MGS BLIST X 10 CAJA X 100 CAPLIN,8.0,4.595,10.0,0.5405,36.76,80.0
30,CETIRIZINA 10 MG CAJA X 10 TAB CAPLIN,40.0,0.695,1.5,0.5366666666666667,27.799999999999997,60.0
31,CIPROFLOXACINA 0.3 % SOL OFTALMICAS  FACO X 5 ML SELEC ,4.0,17.55,30.0,0.415,70.2,120.0
32,CLOPIDROGEL 75 MGS BLIST X 10 CAJA X 100 ABIL CHEMPHARMA,8.0,8.315,17.0,0.5108823529411765,66.52,136.0
33,CLOTRIMAZOL 2 % CREMA VAG 20 GRS SELEC,2.0,9.75,17.0,0.4264705882352941,19.5,34.0
34,CLOTRIMAZOL 2 % CREMA VAG 30 GRS CAPLIN,2.0,8.75,16.0,0.453125,17.5,32.0
35,CLOTRIPLEX LATITA X  12.5 GRS CAJA X 40 ,89.0,5.44,9.0,0.3955555555555555,484.16,801.0
36,COMPLEJO B BLISTER X 10 CAJA X 100 CAPLIN,15.0,0.8,2.0,0.6,12.0,30.0
37,COMPLEJO B JARABE CAJA X 10 SOBRES CAPLIN ,1.0,22.95,40.0,0.42625,22.95,40.0
38,COQUELUCHE FCO 120 ML,1.0,23.85,39.0,0.3884615384615384,23.85,39.0
39,CREMA LASSAR BB COOL 120 GRS,3.0,13.45,23.0,0.41521739130434787,40.349999999999994,69.0
40,CUESIIGERMINA CAJA X 10 AMP PHARMAV,33.0,5.62,15.0,0.6253333333333333,185.46,495.0
41,DESLORATADINA 5 MG BLISTER X 10 CAJA X 100 CAPLIN,13.0,2.78,5.0,0.44400000000000006,36.14,65.0
42,DESLORATADINA 5 MG BLISTER X 20 CAJA X 100 SELEC,13.0,4.4,8.0,0.44999999999999996,57.2,104.0
43,DESLORTADINA JARABE FCO X 60 ML SELEC,4.0,22.95,39.0,0.4115384615384616,91.8,156.0
44,DEXAMETASONA BLIST X 10 CAJA X 100 CAPLIN,11.0,4.0,7.0,0.42857142857142855,44.0,77.0
45,DEXASEL 0.5 MG BLISTR X 20 SELEC (DEXAMETASONA),63.0,0.43,0.95,0.5473684210526316,27.09,59.849999999999994
46,DEXTROMETORFANO  JBE 120 ML SELEC,4.0,9.85,17.0,0.42058823529411765,39.4,68.0
47,DICLOCIEN 100 MGS CAPS GRANU BLIST X 10 CAJA X 100,9.0,2.875,7.0,0.5892857142857143,25.875,63.0
48,DICLOCIEN 100 MGS GEL CAPS BLIST X 10 CAJA X 100,8.0,4.4,9.0,0.5111111111111111,35.2,72.0
49,DICLOFENACO 100 MGS SOD GEL CAPS BLIST X 10 CAJA X 100 AR,49.0,0.43,0.8,0.4625,21.07,39.2
50,DICLOFENACO POT 50 MG BLIST X 10 CAJA X 100 ARGUS,24.0,0.94,2.5,0.624,22.56,60.0
51,DICLOFENACO SOD 50 MG BLIS X 10 CAJA X 100 SELEC,12.0,1.265,2.5,0.49400000000000005,15.18,30.0
52,DICLOXACILINA 500 MG BLISTER X 10 CAPLIN CAJA X 100,9.0,8.35,17.0,0.5088235294117647,75.14999999999999,153.0
53,DIPIRONA AMPOLLA 2 ML CAPLIN,11.0,1.75,3.0,0.4166666666666667,19.25,33.0
54,DOLFIX 100 MGS CAPS GRANU BLIST X 10 CAJA X 100,10.0,6.5,12.0,0.4583333333333333,65.0,120.0
55,DOLFIX 100 MGS GEL CAPS BLIST X 10 CAJA X 20,3.0,6.75,13.0,0.4807692307692308,20.25,39.0
56,DOLODENT SANTE 18 ML CAJA X 12 UNIDADES,3.0,4.04,7.0,0.4228571428571429,12.120000000000001,21.0
57,DOLO-NERVISEL  KIT ,6.0,10.68,19.0,0.4378947368421053,64.08,114.0
58,DROPADEX 25 MGS GEL CAPS BLIST X 10 CAJA X 50,66.0,1.25,4.0,0.6875,82.5,264.0
59,DROPADEX DUO BLIST X 10 CAJA X 10,32.0,2.5,4.5,0.4444444444444444,80.0,144.0
60,ENALAPRIL 20MG BLIST X 20 SELECT CAJA X 100,16.0,4.37,8.0,0.45375,69.92,128.0
61,ENZIMAS DIGES BLIST X 10 CAJA X 30 CONAMEP,5.0,8.03,15.0,0.46466666666666673,40.15,75.0
62,ENZITROL BLIST X 10 CAJA X 100,14.0,7.92,13.0,0.39076923076923076,110.88,182.0
63,ERITROMICINA 500 MGS BLIST X 10 CAJA X 50,2.0,11.46,20.0,0.42699999999999994,22.92,40.0
64,ERITROMICINA SUSP 250 MGS/5ML FCO X  60 ML THERFAM,1.0,12.15,22.0,0.4477272727272727,12.15,22.0
65,ERMAVIGOR PLUS X 10 AMP BEBIBLE PHENIEL ,1.0,50.55,85.0,0.40529411764705886,50.55,85.0
66,ESOMEPRAZOL 40 MG BLIST X 10 CAJA X 100 WASHINGTON,11.0,11.5,20.0,0.425,126.5,220.0
67,ESOMEPRAZOL 40 MGS BLIST X CAJA X 30 CAPLIN,10.0,10.857,20.0,0.45715000000000006,108.57,200.0
68,ETORICOXIB 90 MG CAJA X 10 TAB CAPLIN,25.0,5.0,8.3,0.3975903614457832,125.0,207.50000000000003
69,EXFLU ADULTO SINUS FCO 120 ML,1.0,18.95,32.0,0.4078125,18.95,32.0
70,EXFLU JARABE FCO X 120 ML MULTISINTOMAS,5.0,11.65,20.0,0.4175,58.25,100.0
71,FEXADRIL(DEXCLO+BETAM) JBE 120 ML WINZER,1.0,59.95,94.0,0.36223404255319147,59.95,94.0
72,FLUCONAZOL 150 MG CAJA X 2 CAPS CAPLIN,5.0,3.25,6.0,0.4583333333333333,16.25,30.0
73,FOSFOLIP ESENC DR KENDAL CAJA X 30 BLIST X 10,12.0,8.65,15.0,0.4233333333333333,103.80000000000001,180.0
74,GABAPENTINA 400 MG BLIST X 10  CAJA X 100 ARGUS,46.0,1.7,3.0,0.43333333333333335,78.2,138.0
75,GASTROPRAL BLIST X 10 CAJA X 100 ,14.0,5.895,12.0,0.50875,82.53,168.0
76,GENCLOBEN CREMA TUBO 30 GMS,2.0,13.95,24.0,0.41875,27.9,48.0
77,GERIATRI H3 C/GINS ROJO GEL CAPS BLIST X 10 CAJA X 30 CONA,9.0,5.855,12.0,0.5120833333333333,52.69500000000001,108.0
78,GINKO BILOBA+G BLIST X 10 CAJA X 50 GEL CAPS  CONAMEP,39.0,1.12,2.0,0.43999999999999995,43.68000000000001,78.0
79,GINSENG JALEA REAL CAJA X 10 ML CAPLIN,1.0,18.8,35.0,0.46285714285714286,18.8,35.0
80,GLICITOS JBE FCO X 120 ML ,5.0,10.65,19.0,0.4394736842105263,53.25,95.0
81,GLUXICAM SOBRE CAJA X 14 (MELOXICAM + GLUCOS),14.0,5.34,9.0,0.4066666666666667,74.75999999999999,126.0
82,GRIIN VITAMIN LIQUIPACK SOBRE CAJA X 12 ,1.0,44.95,75.0,0.4006666666666666,44.95,75.0
83,GUAYATOS FCO X 120 ML ,4.0,8.1,13.0,0.37692307692307697,32.4,52.0
84,HIDROCLOROTIAZIDA 50 MG BLIST X 10 CAJA X 100 CAPLIN ,13.0,2.5,5.0,0.5,32.5,65.0
85,IBUPROFEN 400 MGS BLISTER X 10  CAJA X 100 ARGUS ,14.0,1.79,4.0,0.5525,25.060000000000002,56.0
86,IBUPROFEN 600 MGS BLISTER X 10 CAJA X 100  ARGUS,20.0,2.23,5.0,0.554,44.6,100.0
87,IBUPROFEN 800 MGS BLISTER X 10 CAJA X 100 ARGUS,24.0,3.4,7.0,0.5142857142857143,81.6,168.0
88,IBUWIN 400 GEL CAPS BLIST X 10  CAJA X 50,83.0,0.47,1.0,0.53,39.01,83.0
89,IBUWIN 600 GEL CAPS BLIST X 10 CAJA X 100 ,144.0,0.78,1.4,0.4428571428571428,112.32000000000001,201.6
90,IBUWIN FORTE  GEL CAPS BLIST X 10  CAJA X 100 ,10.0,9.92,20.0,0.504,99.2,200.0
91,IRBERSA+HIDRO 300/25 BLIST X 10 CAJ X 30 CAPLIN,4.0,38.33,61.0,0.3716393442622951,153.32,244.0
92,IRBERSARTAN 150 MG BLIST X 10 CAJA X 30CAPLIN,3.0,24.98,39.6,0.3691919191919192,74.94,118.80000000000001
93,IRBERSARTAN 300MG BLIST X 10 CAJA X 30 CAPLIN,6.0,26.65,42.0,0.3654761904761905,159.89999999999998,252.0
94,JERINGA 10 ML 21 X 1 1/2 CAJA X 100,0.0,0.65,1.5,0.5666666666666667,0.0,0.0
95,JERINGA 10 ML 22 X 1 1/2 CAJA X 100,67.0,0.6,1.5,0.6,40.199999999999996,100.5
96,JERINGA 3 ML 21 X1 1/2 DIFASA CAJA X 100,66.0,0.5,1.0,0.5,33.0,66.0
97,JERINGA 3 ML 22 X1 1/2 SUM SHIN CAJA X 100,55.0,0.36,1.0,0.64,19.8,55.0
98,JERINGA 3 ML 23 X 1 1/4 THERFAM CAJA X 100,116.0,0.34,1.0,0.6599999999999999,39.440000000000005,116.0
99,JERINGA 3ML 23X1 1/12 DIFASA CAJA X 100,87.0,0.4,1.0,0.6,34.800000000000004,87.0
100,JERINGA 5 ML 22 X 1 1/2 CAJA X 100,23.0,0.355,1.0,0.645,8.165,23.0
101,KETOCONAZOL CREMA 15 GM ARGUS CAPLIN,2.0,4.65,10.0,0.5349999999999999,9.3,20.0
102,KETOROLACO 20 MG BLIST X 10 CAJA X 50,74.0,0.97,2.0,0.515,71.78,148.0
103,KLORPROSIN  (CLONIS+PRO)  BLIST X 10 CAJA X 100,80.0,0.84,1.4,0.39999999999999997,67.2,112.0
104,KLORPROSIN KIT INY X UNIDAD,1.0,13.75,25.0,0.45,13.75,25.0
105,KOLICON 15 ML ,1.0,15.95,27.0,0.40925925925925927,15.95,27.0
106,LANSOPRAZOL 30MG BLIS X 10 CAJA X 100 ARGUS ,18.0,4.16,9.0,0.5377777777777778,74.88,162.0
107,LEVOCETIRIZINA 5 MG  CAJA X 10 TAB ,37.0,0.57,1.0,0.43000000000000005,21.09,37.0
108,LEVOGASTRIC CAJA X 30 BLISTER X 5 ,6.0,6.4,13.0,0.5076923076923077,38.400000000000006,78.0
109,LORATADINA 10MG  BLISTX 10 TABS CAPLIN CAJA X 100,11.0,1.57,5.0,0.6859999999999999,17.27,55.0
110,LORATADINA 10MG X BLIS X 20 CAJA X 100 SELEC,22.0,4.19,8.0,0.47624999999999995,92.18,176.0
111,LORATADINA 5 MG JBE SELEC ,3.0,8.09,15.0,0.46066666666666667,24.27,45.0
112,LUBRICANTE VIVE 120 ML NATURAL,2.0,25.35,40.0,0.36624999999999996,50.7,80.0
113,LUBRICANTE VIVE 120 ML S. FRESA,1.0,25.35,40.0,0.36624999999999996,25.35,40.0
114,MAGNESIO LIVE VIT C CAJA X 18 SOBRES ,21.0,8.35,15.0,0.44333333333333336,175.35,315.0
115,METFORMINA 1 GM BLIST X 10 CAJA X 100 CAPLIN,10.0,5.995,10.0,0.40049999999999997,59.95,100.0
116,METFORMINA 1G BLIST X10 TAB CAJA X 100 INFASA,10.0,6.63,10.5,0.3685714285714286,66.3,105.0
117,METFORMINA 850 MG BLIST X 10 CAJA X 100 CAPLIN,6.0,3.33,6.0,0.445,19.98,36.0
118,METFORMINA 850 MG BLIST X 10 TAB INFASA,9.0,4.18,7.0,0.4028571428571429,37.62,63.0
119,METOCARBAMOL BLIST X 10 CAJA X 100 CAPLIN,7.0,3.3,8.0,0.5875,23.099999999999998,56.0
120,METOCARBAMOL BLIST X 10 CAJA X 100 SELECT,14.0,4.5,8.0,0.4375,63.0,112.0
121,NAFASOLINA .025% DE 15 ML,2.0,10.51,19.0,0.44684210526315793,21.02,38.0
122,NAPROLIV  (NAPROXENO  550 MG) CAJA X 50 BLIST X 10,3.0,10.26,17.0,0.39647058823529413,30.78,51.0
123,NAPROXENO 550 MG BLIST X 10 CAJA X 100 CAPLIN/ARGUS,11.0,8.0,15.0,0.4666666666666667,88.0,165.0
124,NASOLIN GOTAS 15 ML  MEDIPROD,2.0,18.25,32.0,0.4296875,36.5,64.0
125,NEUROTROPAS GEL CAPS CAJA X 50 BLIST X 10 CONAMEP,65.0,0.89,1.5,0.4066666666666667,57.85,97.5
126,NISTATINA 30ML GOTAS SELEC,3.0,9.95,18.0,0.44722222222222224,29.849999999999998,54.0
127,NISTATINA CREMA SELEC,1.0,10.95,19.0,0.42368421052631583,10.95,19.0
128,NISTATINA SUSPENSION  30 ML CAPLIN ,2.0,8.95,16.0,0.44062500000000004,17.9,32.0
129,NITASEL NITAXOZANIDA 100MG/5ML SUS SELEC ,3.0,25.95,45.0,0.42333333333333334,77.85,135.0
130,NITASEL NITAZOXANIDA 500MG X6TAB SELECT,8.0,17.85,32.0,0.44218749999999996,142.8,256.0
131,OMEPRAZOL 20 MG BLISTER X 10 ARGUS CAJA X 100,6.0,2.095,5.0,0.581,12.57,30.0
132,PENETRACINA 3 CREMA 15 GR MEDIPROD,2.0,29.95,49.0,0.38877551020408163,59.9,98.0
133,PODOFILINA 25% X 5 ML F QUIMICA,1.0,30.65,52.0,0.4105769230769231,30.65,52.0
134,PREDNISONA 50MG BLISTER X 10 SELEC CAJA X 100,22.0,1.879,4.2,0.5526190476190477,41.338,92.4
135,PRENATALES (MULTIVI+MINERA) GEL CAPS KURANTIS ,1.0,6.095,10.0,0.3905,6.095,10.0
136,PRENATALES PLUS 6 BLIS X 5 CAJA X 30 CAP CONAMEP,12.0,6.57,11.0,0.4027272727272727,78.84,132.0
137,PROSTALINE CAJA X 30 BLISTER X 10 CAP,3.0,11.833,20.0,0.40835,35.499,60.0
138,PRUDENCE ANILLOS Y PUNTOS CAJA X 3 PERSERVATIVOS,1.0,14.9,25.0,0.40399999999999997,14.9,25.0
139,"PRUDENCE CAJA X 3   MENTA, FRESA,CHOCOLATE,UVA",5.0,14.15,24.0,0.41041666666666665,70.75,120.0
140,PRUDENCE CLASICO SOBRE X 3 PERSERVATIVO,1.0,11.75,20.0,0.4125,11.75,20.0
141,PRUDENCE RETARDANTE SOBRE X 3 PERSERVATIVOS ,1.0,20.95,35.0,0.40142857142857147,20.95,35.0
142,PRUDENCE SENSITIVE SOBRE X 3 PERSERVATIVOS ,1.0,16.1,27.0,0.4037037037037037,16.1,27.0
143,RELAX PLUS CAJA X 30 CAPS BLIST X 10 CONAMEP,68.0,0.88,1.5,0.41333333333333333,59.84,102.0
144,SAL INGLESA SOBRE X 25 VESA,34.0,0.33,1.0,0.6699999999999999,11.22,34.0
145,SECNIDAZOL 125 MG SUSP FCO X 30 ML,2.0,13.4,23.0,0.41739130434782606,26.8,46.0
146,SECNIDAZOL 500 MG X 4 TAB ARGUS,5.0,3.54,9.0,0.6066666666666667,17.7,45.0
147,SECNIDAZOL 500 MG X 4 TAB CAPLIN,3.0,4.43,8.0,0.44625000000000004,13.29,24.0
148,SECNIDAZOL SUSP 125 MG 5ML CAPLIN ,3.0,11.0,20.0,0.45,33.0,60.0
149,SEGURA PLUS ,2.0,13.2,23.0,0.42608695652173917,26.4,46.0
150,SENOSIDOS  CAJA X 30 BLIST X 10 CONAMEP,73.0,0.57,1.0,0.43000000000000005,41.61,73.0
151,SOSTENGO SILDENAFIL 100MG CAJA X 24 SOB Y CAJITA X 2 TAB,6.0,4.92,10.0,0.508,29.52,60.0
152,SPASMOCLOR (CLORDIA+BROM DE CLID) BLISX 20 CJA X 100,107.0,0.939,1.6,0.4131250000000001,100.473,171.20000000000002
153,SPORT GEL FORTE 30 GRS,1.0,11.25,20.0,0.4375,11.25,20.0
154,SULFATO DE SODA X 16 SOBRES DISFAVIL,0.0,0.28,0.5,0.43999999999999995,0.0,0.0
155,SULFATO FERROSO 350 MG BLIST X 10 SELEC,10.0,1.62,3.0,0.45999999999999996,16.200000000000003,30.0
156,SUPOSITORIOS ACETAMINF 300MG CAPLIN,2.0,1.44,3.0,0.52,2.88,6.0
157,TELMISARTAN 80 MG CAJA X 30 BLIST X 10,6.0,26.72,44.0,0.39272727272727276,160.32,264.0
158,TETRACICLINA 500 MG BLISTER X 10 CAJA X 100,14.0,3.04,7.0,0.5657142857142857,42.56,98.0
159,TRIMETOSE VIJOSA 120ML JARABE,4.0,21.95,35.0,0.3728571428571429,87.8,140.0
160,"TRIPLE C FLUID CAJA X 30 SOBRES (ACETIL,PIRIDOXINA, VIT C)",7.0,8.298,15.0,0.4468,58.086,105.0
161,UNAL (ANTICOCEP MENS) INYEC PIERSAN,2.0,19.94,36.0,0.44611111111111107,39.88,72.0
162,UNIACT KIT (medroxiprogesterona 150m) CA,2.0,33.3,60.0,0.44500000000000006,66.6,120.0
163,VIRO GRIP AM SOBRE X 2 GEL CAP CAJA X 24,35.0,2.81,5.0,0.438,98.35000000000001,175.0
164,VIRO GRIP GRIPE Y TOS JBE 120 ML,0.0,0.0,0.0,,0.0,0.0
165,VIRO GRIP PM SOBRE X 2 GEL CAP CAJA X 24,47.0,2.81,5.0,0.438,132.07,235.0
166,VIROGRIP NF LIMON POLVO AM X 24 SOBRES,31.0,3.047,5.0,0.39059999999999995,94.45700000000001,155.0
167,VIROGRIP NF LIMON POLVO PM X 24 SOBRES,19.0,3.13,5.0,0.374,59.47,95.0
168,VITAMINA K AMPOLLA SELEC,7.0,4.3,8.0,0.4625,30.099999999999998,56.0
169,VITAMINAS PARA DIABETICOS CAJA X 30  BLIST X 10 GELCAPS,4.0,15.38,25.0,0.3848,61.52,100.0
170,WARFARINA 5 MG BLIST X 10 ,20.0,1.195,2.5,0.522,23.900000000000002,50.0
171,ZETAWIN FORTE 1G CAJA X 20 TAB BLIST X 10,9.0,3.337,5.7,0.4145614035087719,30.033,51.300000000000004
172,ZINC 15 MG GEL BLISTER X 10  CAJA X 50,7.0,3.95,7.0,0.43571428571428567,27.650000000000002,49.0
173,ZINC 20 MG CAJA X 100  BLIST X 10 TAB CAPLIN,8.0,2.5,4.0,0.375,20.0,32.0
174,ZINKVANZ (ZINC)10MG/5ML JBE 120ML SEVEN ,1.0,41.05,69.0,0.405072463768116,41.05,69.0
175,ZORRITONE JARABE 120 ML ,2.0,20.95,33.0,0.36515151515151517,41.9,66.0
