No,ARTICULO,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 31 MAR,SEM 7 ABRIL,SEM 17 MAR, SEM 24 MAR,TOTAL,PROMEDIO,1 MES,2 MESES
92.0,IRBERSARTAN 150 MG BLIST X 10 CAJA X 30CAPLIN,3.0,,,,,,,,,,,,3,9,39.6,,2027-01-01,0.0,1.0,2025-03-01,3.0,1.0,1.0,1.0,6,1.5,6,12
93.0,IRBERSARTAN 300MG BLIST X 10 CAJA X 30 CAPLIN,6.0,,,3.0,,,,,,,,,3,13,42.0,,2027-01-01,0.0,1.0,2025-03-01,1.0,1.0,3.0,3.0,8,2.0,8,16
94.0,JERINGA 10 ML 21 X 1 1/2 CAJA X 100,0.0,,,,,,,,,,,,0,12,1.5,,,,,,,,,6.0,6,1.5,6,12
95.0,JERINGA 10 ML 22 X 1 1/2 CAJA X 100,67.0,,,,,,,,,,,,67,5,1.5,,2029-06-01,0.0,,2025-01-01,19.0,8.0,5.0,4.0,36,9.0,36,72
96.0,JERINGA 3 ML 21 X1 1/2 DIFASA CAJA X 100,66.0,,,,,,,,,,,,66,-46,1.0,,,0.0,,2021-01-01,1.0,6.0,1.0,2.0,10,2.5,10,20
97.0,JERINGA 3 ML 22 X1 1/2 SUM SHIN CAJA X 100,55.0,,,1.0,,,,,,,2.0,,52,-8,1.0,COIDE,2028-09-01,0.0,,2025-01-01,12.0,6.0,1.0,3.0,22,5.5,22,44
98.0,JERINGA 3 ML 23 X 1 1/4 THERFAM CAJA X 100,116.0,,,,,,,,,,,,116,-100,1.0,,2029-08-01,0.0,,2024-11-01,1.0,3.0,3.0,1.0,8,2.0,8,16
99.0,JERINGA 3ML 23X1 1/12 DIFASA CAJA X 100,87.0,,,,,,,,,,,,87,-45,1.0,,2028-08-01,1.0,,2024-11-01,5.0,5.0,9.0,2.0,21,5.25,21,42
100.0,JERINGA 5 ML 22 X 1 1/2 CAJA X 100,123.0,,4.0,5.0,1.0,1.0,1.0,,2.0,1.0,3.0,,105,67,1.0,COIDE,2026-09-01,3.0,1.0,2025-03-01,21.0,35.0,12.0,18.0,86,21.5,86,172
101.0,KETOCONAZOL CREMA 15 GM ARGUS CAPLIN,2.0,,,,,,1.0,,,,,,1,7,10.0,,2026-10-01,1.0,,2025-02-01,1.0,1.0,1.0,1.0,4,1.0,4,8
102.0,KETOROLACO 20 MG BLIST X 10 CAJA X 50,74.0,,,,,,10.0,,,,,,64,30,2.0,,2025-10-01,4.0,,2024-08-01,20.0,6.0,11.0,10.0,47,11.75,47,94
103.0,KLORPROSIN  (CLONIS+PRO)  BLIST X 10 CAJA X 100,80.0,,,,,,,,,,,,80,-40,1.4,,2026-11-01,0.0,,2024-08-01,2.0,2.0,10.0,6.0,20,5.0,20,40
104.0,KLORPROSIN KIT INY X UNIDAD,1.0,,,,,,,,,,,,1,7,25.0,,2027-02-01,1.0,1.0,2025-03-01,1.0,1.0,1.0,1.0,4,1.0,4,8
105.0,KOLICON 15 ML ,1.0,,,,,,,,,,,,1,7,27.0,,2026-07-01,0.0,,2023-11-01,1.0,1.0,1.0,1.0,4,1.0,4,8
106.0,LANSOPRAZOL 30MG BLIS X 10 CAJA X 100 ARGUS ,18.0,2.0,1.0,1.0,1.0,3.0,,,2.0,,,,8,96,9.0,,2027-06-01,5.0,6.0,2025-03-01,14.0,23.0,5.0,10.0,52,13.0,52,104
107.0,LEVOCETIRIZINA 5 MG  CAJA X 10 TAB ,37.0,,,,,,,,,,4.0,,33,55,1.5,,2025-10-01,3.0,6.0,2025-03-01,10.0,10.0,20.0,4.0,44,11.0,44,88
108.0,LEVOGASTRIC CAJA X 30 BLISTER X 5 ,6.0,,,,,,,,,,,,6,24,13.0,,2026-03-01,4.0,,2025-03-01,5.0,6.0,2.0,2.0,15,3.75,15,30
109.0,LORATADINA 10MG  BLISTX 10 TABS CAPLIN CAJA X 100,11.0,,,,,,,,,,,,11,7,5.0,,2027-03-01,0.0,,2025-02-01,1.0,1.0,3.0,4.0,9,2.25,9,18
110.0,LORATADINA 10MG X BLIS X 20 CAJA X 100 SELEC,22.0,,2.0,,,,,,,,2.0,,18,24,8.0,,2028-08-01,6.0,4.0,2025-03-01,7.0,3.0,7.0,4.0,21,5.25,21,42
111.0,LORATADINA 5 MG JBE SELEC ,3.0,,,,,,,,,,,,3,7,15.0,,2027-06-01,0.0,,2024-12-01,2.0,1.0,1.0,1.0,5,1.25,5,10
112.0,LUBRICANTE VIVE 120 ML NATURAL,2.0,,1.0,,,,,,,,,,1,5,40.0,,2028-02-01,1.0,2.0,2025-03-01,1.0,,1.0,1.0,3,0.75,3,6
113.0,LUBRICANTE VIVE 120 ML S. FRESA,1.0,,,,,,,,,,,,1,1,40.0,,2025-11-01,0.0,,2024-05-01,,,1.0,,1,0.25,1,2
114.0,MAGNESIO LIVE VIT C CAJA X 18 SOBRES ,21.0,,,,,1.0,,,,,,,20,-6,15.0,,2027-03-01,0.0,,2025-02-01,3.0,1.0,2.0,1.0,7,1.75,7,14
115.0,METFORMINA 1 GM BLIST X 10 CAJA X 100 CAPLIN,10.0,,,,,1.0,,,,,,,9,5,10.0,,2026-04-01,0.0,,2025-02-01,1.0,3.0,2.0,1.0,7,1.75,7,14
116.0,METFORMINA 1G BLIST X10 TAB CAJA X 100 INFASA,10.0,,1.0,,1.0,,,,3.0,,,,5,15,12.0,,2027-10-01,2.0,,2025-02-01,3.0,1.0,1.0,5.0,10,2.5,10,20
117.0,METFORMINA 850 MG BLIST X 10 CAJA X 100 CAPLIN,6.0,1.0,,,,,,,,,,,5,7,6.0,,2025-11-01,0.0,,2024-12-01,2.0,1.0,2.0,1.0,6,1.5,6,12
118.0,METFORMINA 850 MG BLIST X 10 TAB INFASA,9.0,,,,,,,,,,1.0,,8,12,7.0,,2027-08-01,1.0,1.0,2025-03-01,3.0,3.0,3.0,1.0,10,2.5,10,20
119.0,METOCARBAMOL BLIST X 10 CAJA X 100 CAPLIN,7.0,,,,,,,,,,,,7,3,8.0,,2027-05-01,0.0,,2025-01-01,1.0,1.0,1.0,2.0,5,1.25,5,10
120.0,METOCARBAMOL BLIST X 10 CAJA X 100 SELECT,14.0,1.0,,,,,,,,,,,13,-3,8.0,,2027-04-01,0.0,1.0,2025-03-01,2.0,1.0,1.0,1.0,5,1.25,5,10
121.0,NAFASOLINA .025% DE 15 ML,2.0,,,,,,,,,,,,2,0,19.0,,2026-03-01,0.0,,2024-08-01,,1.0,,,1,0.25,1,2
