No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
123,PANADOL MULTISINTOMAS X 24 SOBRES,32.0,1.67,3.0,0.44333333333333336,53.44,96.0
124,PANADOL SINUS X 26 SOBRES,31.0,1.66,3.0,0.4466666666666667,51.46,93.0
125,PANADOL ULTRA X 52 SOBRES,25.0,1.33,2.5,0.46799999999999997,33.25,62.5
126,PARACETAMOL 750 MG  ECOMED CAJA X 60 TAB  BLIST X5,6.0,4.09,12.0,0.6591666666666667,24.54,72.0
127,PEPTO BISMOL 118 ML (4 ONZ),6.0,28.0,43.0,0.3488372093023256,168.0,258.0
128,PEPTOBISMOL TIRA  X 24 TAB,24.0,0.96,2.0,0.52,23.04,48.0
129,PILDORA DE WITT BLIST X 20 CAJA X 100,17.0,0.25,0.65,0.6153846153846154,4.25,11.05
130,PIOFIN FCO 60 ML,2.0,5.0,10.0,0.5,10.0,20.0
131,POMADA DE LA CAMPANA 19 GRS,4.0,5.98,13.0,0.5399999999999999,23.92,52.0
132,POMADA DE LA CAMPANA 35 GRS,2.0,7.6,22.0,0.6545454545454545,15.2,44.0
133,PROMETEST PRUEBA DE EMBARAZO,3.0,4.5,15.0,0.7,13.5,45.0
134,PULMO GRIP JBE 120 ML,2.0,13.5,25.0,0.46,27.0,50.0
135,PULMO GRIP KIT ,3.0,9.0,19.0,0.5263157894736842,27.0,57.0
136,PULMOGRIP JBE 240 ML,2.0,10.0,35.0,0.7142857142857143,20.0,70.0
137,QG5 DUO CAJA X 2 FCOS ,2.0,12.5,45.0,0.7222222222222222,25.0,90.0
138,RABANO YODADO 240 ML DRAGON,1.0,10.3,18.0,0.42777777777777776,10.3,18.0
139,REUMETAMEX FORTE (NAPROXENO 86 MG),4.0,9.5,20.0,0.525,38.0,80.0
140,SAL ANDREWS DISP X 50 SOBRES,51.0,0.8,2.0,0.6,40.800000000000004,102.0
141,SAL DE UVAS PICOT CAJA X 50,56.0,0.96,2.0,0.52,53.76,112.0
142,SALBUTAMOL 100MCG X DOSIS SPRAY PROMEGAL ,7.0,11.86,25.0,0.5256000000000001,83.02,175.0
143,SALUPRIM TAB CAJA X 50 BLIST X 5 (TRIMETROPRIM),11.0,4.5,8.0,0.4375,49.5,88.0
144,SANA SANA POMADA LATITA DE PLASTICO,14.0,3.0,8.0,0.625,42.0,112.0
145,SANIRENAL CAJA X 100 BLIST X 10,94.0,0.6,1.0,0.4,56.4,94.0
146,SERAFON GUAYACOL+EUCALI) X 1000,712.0,0.125,0.25,0.5,89.0,178.0
147,SERTAL COMPUESTO BLIS X 10 CAJA X 200,141.0,1.75,3.3,0.46969696969696967,246.75,465.29999999999995
148,SERTAL COMPUESTO X 3 DOSIS,2.0,10.0,20.0,0.5,20.0,40.0
149,SHAMPOO MEDICASP 130.ML,1.0,42.0,70.0,0.4,42.0,70.0
150,SIXTYNINE (SILDEN X 100 MGS) CAJA X 30 SOB Y CART X 4,10.0,5.3333,15.0,0.6444466666666666,53.333000000000006,150.0
151,SUCRADEL CAJA X 30 SOBRES,21.0,2.5,5.0,0.5,52.5,105.0
152,SUCRASSYL CAJA X 30 PAHIL,21.0,3.12,5.0,0.376,65.52,105.0
153,SUKROL BEBIBLE CAJA X 10 VIAL,12.0,2.53,5.5,0.54,30.36,66.0
154,SUKROL NIÑO JARABE 240 ML,2.0,12.0,25.0,0.52,24.0,50.0
155,SUKROL TAB  CAJA X 100,1.0,20.0,80.0,0.75,20.0,80.0
156,TE ANTIGRIPAL CAJA X 20 SOBRES,22.0,0.5,1.0,0.5,11.0,22.0
157,TE CHUPA GRASA CAJA X 30,1.0,35.0,57.0,0.38596491228070173,35.0,57.0
158,TE CHUPA PANZA CAJA X 30,1.0,35.0,57.0,0.38596491228070173,35.0,57.0
159,TE DE ALCACHOFA GN+V X 30 SOBRES,1.0,35.72,57.0,0.37333333333333335,35.72,57.0
160,TE DE PIÑALIN CAJA X 30 SOBRES,1.0,35.0,57.0,0.38596491228070173,35.0,57.0
161,TE GINKO BILOBA CAJA X 20 SOBRES ,14.0,0.75,1.5,0.5,10.5,21.0
162,TE LIMON + JENGIBRE CAJA X 20 SOBRES ,11.0,0.75,1.5,0.5,8.25,16.5
163,TE MANZANILLA + TILO  CAJA X 20 SOBRES ,16.0,0.75,1.5,0.5,12.0,24.0
164,TE MANZANILLA CAJA X 20 SOBRES,14.0,0.7,1.5,0.5333333333333333,9.799999999999999,21.0
165,TE PARA LA DIABETES CAJA X 20 SOB VIDA,16.0,0.75,2.0,0.625,12.0,32.0
166,TE PARA LA NOCHE CAJA X 20 SOBRES,13.0,0.5,1.5,0.6666666666666666,6.5,19.5
167,TE PARA LA PRESION CAJA X 20 SOB VIDA,23.0,0.6,1.15,0.47826086956521735,13.799999999999999,26.45
168,TE PARA LOS NERVIOS CAJA X 20 SOB VIDA,11.0,0.76,1.5,0.49333333333333335,8.36,16.5
169,TE PERICON CAJA X 20 SOBRES  ,20.0,0.6,1.0,0.4,12.0,20.0
170,TE RENAL CAJA X 20 SOBRES,17.0,0.6,1.5,0.6,10.2,25.5
171,TE TILO CAJA X 20 SOBRES,7.0,0.5,1.5,0.6666666666666666,3.5,10.5
172,TE VERDE PIÑA CAJA X 20 SOBRES ,9.0,0.75,1.5,0.5,6.75,13.5
173,TERABIOL LANCASCO AMPIC+SULBACTAN) FCO X 70 ML,1.0,25.3,50.0,0.494,25.3,50.0
174,TERRAMICINA UNGÜENTO 5 GRS,1.0,15.0,33.0,0.5454545454545454,15.0,33.0
175,TIAMINA 300 ANCALMO CAJA X 100,54.0,0.4,1.0,0.6,21.6,54.0
176,TRAMADOL CAPSULA  CAJA X 100 BLIST X 10 MILAN,18.0,5.5,10.0,0.45,99.0,180.0
177,TRES TOROS  CAJA X 10 AMPOLLAS VIAL BEBIBLE,1.0,20.0,40.0,0.5,20.0,40.0
178,TRIAXOBIL S 1.5 FCO I.M /I.V.,0.0,36.0,70.0,0.4857142857142857,0.0,0.0
179,TRIPLE FORTE DX CAJA X 3 INYEC,1.0,15.3,30.0,0.49,15.3,30.0
180,TUSILEXIL FCO X 120 ML,2.0,25.3,50.0,0.494,50.6,100.0
181,UNESIA 20 GRS,2.0,30.0,58.0,0.4827586206896552,60.0,116.0
182,UNIPULMIN ANTGRIPAL INYECTABLE,4.0,9.3,16.0,0.41874999999999996,37.2,64.0
183,UNIPULMIN GRIPE Y TOS INYECTABLE,1.0,9.3,16.0,0.41874999999999996,9.3,16.0
184,UROFIN DISPENS X 100,94.0,1.85,3.0,0.3833333333333333,173.9,282.0
185,VARIFIN  FCO 100 TABS,1.0,20.3,40.0,0.4925,20.3,40.0
186,VICK PASTI MENTOL 5 X 24 SOBRES,16.0,2.29,4.0,0.4275,36.64,64.0
187,VICK VAPORUB 12G  CAJA X 12 LATITAS,31.0,5.95,10.0,0.40499999999999997,184.45000000000002,310.0
188,VITAL FUERTE 10 AMP BEB 10 ML,6.0,3.18,5.8,0.45172413793103444,19.080000000000002,34.8
189,VITALFUERTE X 100 TAB,1.0,20.3,80.0,0.7462500000000001,20.3,80.0
190,VITAMINA E 1000 X 100 VESA,198.0,0.4,1.0,0.6,79.2,198.0
191,VIVE AMOR 16 CAJAS X 3 UND,5.0,4.7,8.0,0.4125,23.5,40.0
192,VIVE ORIGINAL 16 CAJAS X 3 UND,4.0,5.0,8.0,0.375,20.0,32.0
193,WINASORB GOTAS 15 ML,1.0,15.0,27.0,0.4444444444444444,15.0,27.0
194,WINASORB JBE 60 ML,1.0,15.0,32.0,0.53125,15.0,32.0
195,YODOCLORINA DISP X 100 CAPS,124.0,0.4,0.9,0.5555555555555556,49.6,111.60000000000001
196,ZANAHORIA CON VIT A 40 ML,2.0,12.0,19.0,0.3684210526315789,24.0,38.0
197,ZARZAPARRILLA FCO 240 ML (HIGSA),1.0,10.3,20.0,0.485,10.3,20.0
198,ZORRIFLEM JB 180 ML,1.0,9.3,18.0,0.4833333333333333,9.3,18.0
199,ZORRITONE CARAMELO BARRA CAJA X 16 CEREZA,18.0,2.19,4.5,0.5133333333333333,39.42,81.0
200,ZORRITONE CARAMELO BARRA CAJA X 16 MIEL LIMON,17.0,2.18,4.5,0.5155555555555555,37.06,76.5
201,ZORRITONE CARAMELO BARRA CAJA X 16 TRADICIONAL,27.0,2.19,4.5,0.5133333333333333,59.129999999999995,121.5
202,ZORRITONE CARAMELO X 500,298.0,0.27,0.5,0.45999999999999996,80.46000000000001,149.0
