Nombre,COSTO,EXISTENCIA,COSTO_UNIDAD,CANTIDAD_TOTAL_UNIDADES,FECHA_COMPRA,FECHA_VENCIMIENTO
ETORICOXIB 90 MG CAJA X 10 TAB CAPLIN,5.0,20.0,5.0,20.0,2024-12-01,2026-09-01
EXFLU ADULTO SINUS FCO 120 ML,18.95,2.0,18.95,2.0,2025-02-01,2026-09-01
EXFLU JARABE FCO X 120 ML MULTISINTOMAS,11.65,4.0,11.65,4.0,2025-03-01,2027-08-01
FEXADRIL(DEXCLO+BETAM) JBE 120 ML WINZER,59.95,1.0,59.95,1.0,2024-10-01,2025-11-01
FLUCONAZOL 150 MG CAJA X 2 CAPS CAPLIN,3.25,5.0,3.25,5.0,2025-01-01,2027-05-01
FOSFOLIP ESENC DR KENDAL CAJA X 30 BLIST X 10,8.65,12.0,0.865,120.0,2025-04-01,2027-06-01
GABAPENTINA 400 MG BLIST X 10  CAJA X 100 ARGUS,1.7,106.0,0.17,1060.0,2025-03-01,2027-05-01
GASTROPRAL BLIST X 10 CAJA X 100,5.895,10.0,0.589,100.0,2025-02-01,2027-11-01
GENCLOBEN CREMA TUBO 30 GMS,13.95,2.0,13.95,2.0,2025-04-01,2027-06-01
GERIATRI H3 C/GINS ROJO GEL CAPS BLIST X 10 CAJA X 30 CONA,5.855,9.0,0.586,90.0,2024-10-01,2027-02-01
GINKO BILOBA+G BLIST X 10 CAJA X 50 GEL CAPS  CONAMEP,1.12,27.0,0.112,270.0,2025-03-01,2027-02-01
GINSENG JALEA REAL CAJA X 10 ML CAPLIN,18.8,1.0,1.88,10.0,2025-01-01,2025-10-01
GLICITOS JBE FCO X 120 ML,10.65,4.0,10.65,4.0,2025-04-01,2027-09-01
GLUXICAM SOBRE CAJA X 14 (MELOXICAM + GLUCOS),5.34,20.0,5.34,20.0,2025-02-01,2026-04-01
GRIIN VITAMIN LIQUIPACK SOBRE CAJA X 12,44.95,1.0,44.95,1.0,2025-03-01,2026-02-01
GUAYATOS FCO X 120 ML,8.1,8.0,8.1,8.0,2025-04-01,2028-05-01
HIDROCLOROTIAZIDA 50 MG BLIST X 10 CAJA X 100 CAPLIN,2.5,11.0,0.25,110.0,2025-01-01,2027-04-01
IBUPROFEN 400 MGS BLISTER X 10  CAJA X 100 ARGUS,1.79,13.0,0.179,130.0,2025-02-01,2027-07-01
IBUPROFEN 600 MGS BLISTER X 10 CAJA X 100  ARGUS,2.23,20.0,0.223,200.0,2025-04-01,2026-12-01
IBUPROFEN 800 MGS BLISTER X 10 CAJA X 100 ARGUS,3.4,18.0,0.34,180.0,2025-04-01,2026-10-01
IBUWIN 400 GEL CAPS BLIST X 10  CAJA X 50,0.47,1.0,0.047,10.0,2025-02-01,2027-05-01
IBUWIN 600 GEL CAPS BLIST X 10 CAJA X 100,0.78,144.0,0.078,1440.0,2027-04-01,2026-04-01
IBUWIN FORTE  GEL CAPS BLIST X 10  CAJA X 100,9.92,20.0,0.992,200.0,2025-04-01,2027-04-01
IRBERSA+HIDRO 300/25 BLIST X 10 CAJ X 30 CAPLIN,38.33,4.0,3.833,40.0,2025-02-01,2026-05-01
IRBERSARTAN 150 MG BLIST X 10 CAJA X 30CAPLIN,24.98,3.0,2.498,30.0,2025-03-01,2027-01-01
IRBERSARTAN 300MG BLIST X 10 CAJA X 30 CAPLIN,26.65,2.0,2.665,20.0,2025-03-01,2027-01-01
JERINGA 10 ML 21 X 1 1/2 CAJA X 100,0.65,0.0,0.65,0.0,,
JERINGA 10 ML 22 X 1 1/2 CAJA X 100,0.6,47.0,0.6,47.0,2025-01-01,2029-06-01
JERINGA 3 ML 21 X1 1/2 DIFASA CAJA X 100,0.5,64.0,0.5,64.0,2021-01-01,
JERINGA 3 ML 22 X1 1/2 SUM SHIN CAJA X 100,0.36,21.0,0.36,21.0,2025-04-01,2028-09-01
JERINGA 3 ML 23 X 1 1/4 THERFAM CAJA X 100,0.34,114.0,0.34,114.0,2024-11-01,2029-08-01
JERINGA 3ML 23X1 1/12 DIFASA CAJA X 100,0.4,80.0,0.4,80.0,2024-11-01,2028-08-01
JERINGA 5 ML 22 X 1 1/2 CAJA X 100,0.355,93.0,0.355,93.0,2025-03-01,2026-09-01
KETOCONAZOL CREMA 15 GM ARGUS CAPLIN,4.65,1.0,4.65,1.0,2025-04-01,2026-10-01
KETOROLACO 20 MG BLIST X 10 CAJA X 50,0.97,55.0,0.097,550.0,2024-08-01,2025-10-01
KLORPROSIN  (CLONIS+PRO)  BLIST X 10 CAJA X 100,0.84,60.0,0.084,600.0,2024-08-01,2026-11-01
KLORPROSIN KIT INY X UNIDAD,13.75,1.0,13.75,1.0,2025-04-01,2027-07-01
KOLICON 15 ML,15.95,1.0,15.95,1.0,2023-11-01,2026-07-01
LANSOPRAZOL 30MG BLIS X 10 CAJA X 100 ARGUS,4.16,19.0,0.416,190.0,2025-03-01,2027-06-01
LEVOCETIRIZINA 5 MG  CAJA X 10 TAB,0.57,36.0,0.57,36.0,2025-04-01,2025-10-01
LEVOGASTRIC CAJA X 30 BLISTER X 5,6.4,6.0,1.28,30.0,2025-03-01,2026-03-01
LORATADINA 10MG  BLISTX 10 TABS CAPLIN CAJA X 100,1.57,9.0,0.078,180.0,2025-02-01,2027-03-01
