No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES,2 MESES.1
47,MINISEC 1GM SOBRE BEBIBLE 5ML(SUCRALFATO),7.0,,,,,,,,,,,,7.0,5.0,6.0,,2026-01-01,0.0,,2025-01-01,4.0,1.0,,1.0,6.0,1.5,6.0,12.0,
48,NEUTRAGEL BLISTER X 10 TAB (BONIN),64.0,2.0,4.0,,,,,,,,,,58.0,30.0,1.2,ROSADEL,2029-07-01,5.0,,2025-01-01,8.0,20.0,2.0,14.0,44.0,11.0,44.0,88.0,
49,OMEPRAZOL 40 MG VIAL IV (VITALIS),5.0,,,,,,,,,,,,5.0,3.0,30.0,,2027-04-01,3.0,,2024-07-01,1.0,,3.0,,4.0,1.0,4.0,8.0,
50,OXIDO ZINC SOBRE 28 GRS BOLSA X  16,11.0,,,,,,,,,,,,11.0,7.0,6.0,,2026-10-01,1.0,,2025-03-01,1.0,4.0,1.0,3.0,9.0,2.25,9.0,18.0,
51,POMADA DE OXIDO ZINC ,2.0,,,,,,,,,,,,2.0,-2.0,11.0,,,4.0,,2025-04-01,,,,,0.0,0.0,0.0,0.0,
52,POSTAVIT 25 MG CJ X 25 TAB ,13.0,,,,,,,,,,,,13.0,1.0,3.0,,2025-08-01,0.0,,2023-04-01,,3.0,1.0,3.0,7.0,1.75,7.0,14.0,
53,PREGABALINA 75 MG CAJA X 100  BLIST X 10 CAPS,108.0,,10.0,,,10.0,10.0,,,20.0,,,58.0,174.0,2.0,,2027-10-01,7.0,,2025-04-01,50.0,22.0,20.0,24.0,116.0,29.0,116.0,232.0,
54,PROPOLTOX (PROPOLEO) JBE 120 ML ,1.0,,,,,,,,,,,,1.0,-1.0,41.0,,2026-09-01,1.0,,2025-04-01,,,,,0.0,0.0,0.0,0.0,
55,PROTECTOR LABIAL JALOMA BOTE CON 60 ,20.0,,,,,,,,,,,,20.0,-6.0,4.0,,2026-05-01,0.0,,2024-11-01,1.0,1.0,1.0,4.0,7.0,1.75,7.0,14.0,
56,RHELAX FLEB  POMADA 60 GRS,2.0,,,,,,,,,,,,2.0,6.0,27.0,,2026-06-01,2.0,,2024-12-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0,
57,SECNIDAZOL 500 MG 12 BLIST X 4 CAJA X 48 INFASA,20.0,,,1.0,,1.0,,,,,,,18.0,3.0,10.0,,2027-08-01,2.0,,2025-04-01,5.0,3.0,4.0,14.0,26.0,6.5,26.0,52.0,
58,SUCRALFATO   200 ML  SUSP,4.0,,,,,,,,,,,,4.0,6.0,52.0,GENESIS,2027-02-01,4.0,,2025-04-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0,
59,SUERO EN POLVO NARANJA 1 LT PROMEGAL X 25,16.0,,,,,,,,,,,,16.0,10.0,4.0,OLAM,2027-03-01,1.0,,2025-04-01,4.0,3.0,4.0,2.0,13.0,3.25,13.0,26.0,
60,TERMOMETRO DIGITAL C/AZUL (OPERSON),1.0,,,,,,,,,,,,1.0,1.0,33.0,,2027-01-01,1.0,,2025-04-01,,,1.0,,1.0,0.25,1.0,2.0,
61,TYLENOL ROJO EXTRA F CJ X 20 TAB 10 SOB,10.0,,,,,,,,,,,,10.0,2.0,5.0,,2027-04-01,2.0,,2025-04-01,6.0,4.0,6.0,5.0,21.0,5.25,21.0,42.0,
62,UNICIL 1.2 MEGAS (UNIPHARM),0.0,,,,,,,,,,,,0.0,4.0,37.0,,2026-01-01,0.0,,2024-03-01,,1.0,1.0,2.0,4.0,1.0,4.0,8.0,
63,UNICIL 4 MEGAS (UNHIPHARM),2.0,,,,,,,,,,,,2.0,6.0,40.0,,2026-04-01,2.0,,2024-10-01,,1.0,2.0,1.0,4.0,1.0,4.0,8.0,
64,VISINA ESTERI J&J GOTAS 15 ML (TETRIZOLIN),2.0,,,,,,,,,,,,2.0,2.0,72.0,,2026-09-01,,,2025-03-01,1.0,,1.0,,2.0,0.5,2.0,4.0,
65,VISTA CLARA 15 ML (ANTIALERGICO),5.0,,,,,,,,,,,,5.0,5.0,40.0,,2027-01-01,0.0,,2025-03-01,2.0,1.0,1.0,1.0,5.0,1.25,5.0,10.0,
66,VITAMINA D 2000 BLIST X 15 CAJA X 30 H&V,2.0,,,,,,,,,,,,2.0,6.0,25.0,,2026-09-01,2.0,,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0,
67,ZINC 30 MG CAJA X 30  BLIST X 10 CAPS (FORAL SALUD),3.0,,,,,,,,,,,,3.0,5.0,10.0,,2026-07-01,1.0,,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0,
68,ZORRITONE CARAMELO BARRA CAJA X 12 JENGIBRE,12.0,,,,,,,,,,,,12.0,2.0,5.0,,2027-08-01,0.0,,2025-01-01,1.0,3.0,2.0,1.0,7.0,1.75,7.0,14.0,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
