ID,PRODUCTO,INV,COST,PRESENTACION COSTO,PP,VC,FC,UBICA,FF,QUE ES,P QUE S,DOSIFICA,PA
60,ERITROMICINA SUSP 250 MGS/5ML FCO X  60 ML THERFAM,2.0,12.15,FRASCO,22.0,2027-09-01,2024-02-01,,,,,,
61,ERMAVIGOR PLUS X 10 AMP BEBIBLE PHENIEL ,1.0,50.55,AMPOLLA BEBIBLE,85.0,2025-04-01,2024-06-01,,,,,,
62,ESOMEPRAZOL 40 MG BLIST X 10 CAJA X 100 WASHINGTON,10.0,0.75,BLISTER,1.8,2025-02-01,2024-11-01,,,,,,
63,ESOMEPRAZOL 40 MGS BLIST X CAJA X 30 CAPLIN,19.0,10.857,BLISTER,20.0,2027-02-01,2024-12-01,,,,,,
64,ETORICOXIB 60 MG CAJA X 10 TAB CAPLIN,5.0,4.0,BLISTER,6.0,2026-02-01,2023-10-01,,,,,,
65,ETORICOXIB 90 MG CAJA X 10 TAB CAPLIN,22.0,5.0,BLISTER,8.3,2026-09-01,2024-12-01,,,,,,
66,EXFLU ADULTO SINUS FCO 120 ML,1.0,18.95,FRASCO,32.0,2026-09-01,2024-12-01,,,,,,
67,EX-FLU JARABE FCO X 120 ML MULTISINTOMAS,4.0,11.65,FRASCO,20.0,2027-02-01,2024-12-01,,,,,,
68,FEXADRIL(DEXCLO+BETAM) JBE 120 ML WINZER,1.0,59.95,FRASCO,94.0,2025-11-01,2024-10-01,,,,,,
69,FLUCONAZOL 150 MG CAJA X 2 CAPS CAPLIN,4.0,3.25,CAJA,6.0,2027-05-01,2025-01-01,,,,,,
70,FLUCONAZOL 150 MGS CAJA X 2 CAPS SELEC,5.0,3.6,CAJA,6.0,2027-05-01,2024-12-01,,,,,,
71,FOSFOLIP ESENC DR KENDAL CAJA X 30 BLIST X 10,12.0,8.65,BLISTER,15.0,2027-06-01,2024-12-01,,,,,,
72,GABAPENTINA 400 MG BLIST X 10  CAJA X 100 ARGUS,71.0,1.58,BLISTER,3.0,2027-05-01,2024-12-01,,,,,,
73,GASTROPRAL BLIST X 10 CAJA X 100 ,9.0,5.895,BLISTER,12.0,2027-02-01,2024-12-01,,,,,,
74,GENCLOBEN CREMA TUBO 30 GMS,1.0,13.95,TUBO,24.0,2026-10-01,2024-09-01,,,,,,
75,GERIATRI H3 C/GINS ROJO GEL CAPS BLIST X 10 CAJA X 30 CONA,7.0,5.855,BIS,12.0,2027-02-01,2024-10-01,,,,,,
76,GINKO BILOBA+G BLIST X 10 CAJA X 50 GEL CAPS  CONAMEP,61.0,1.19,BLISTER,2.0,2027-02-01,2024-11-01,,,,,,
77,GINSENG JALEA REAL CAJA X 10 ML CAPLIN,1.0,18.8,SASHET,35.0,2025-10-01,2025-01-01,,,,,,
78,GLICITOS JBE FCO X 120 ML ,5.0,10.65,FRASCO,19.0,2027-05-01,2024-12-01,,,,,,
79,GLUXICAM SOBRE CAJA X 14 (MELOXICAM + GLUCOS),19.0,5.34,SOBRE,9.0,2026-04-01,2024-08-01,,,,,,
80,GRIIN VITAMIN LIQUIPACK SOBRE CAJA X 12 ,2.0,44.95,SOBRE,75.0,2026-02-01,2024-06-01,,,,,,
81,GUAYATOS FCO X 120 ML ,7.0,8.1,FRASCO,13.0,2028-05-01,2024-12-01,,,,,,
82,HIDROCLOROTIAZIDA 50 MG BLIST X 10 CAJA X 100 CAPLIN ,9.0,2.5,BLISTER,5.0,2027-04-01,2025-01-01,,,,,,
