No,ARTICULO,EXIST,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
22.0,CENTRUM HOMBRE CAJA X 60,1.0,,,,,,,,,,,,1.0,7.0,80.0,,2027-12-01,2.0,,2025-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
23.0,CENTRUM KIDS ,1.0,,,,,,,,,,,,1.0,7.0,80.0,,2027-12-01,1.0,,2025-02-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
24.0,CENTRUM MUJER  CAJA X 60,1.0,,,,,,,,,,,,1.0,7.0,80.0,,2027-12-01,1.0,,2025-04-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
25.0,CENTRUM SILVER CAJA X 60 CAPS,1.0,,,,,,,,,,,,1.0,5.0,80.0,,2027-12-01,0.0,,2024-11-01,1.0,1.0,1.0,,3.0,0.75,3.0,6.0
26.0,CITRATO DE POTASIO Y MAGNESIO CAJA X 60 CAPS ,1.0,,,,,,,,,,,,1.0,3.0,110.0,,2027-12-01,2.0,,2025-04-01,,1.0,1.0,,2.0,0.5,2.0,4.0
27.0,COBALEX 10 ML  VIAL VIJOSA (CIANOCOBALAMINA) ,8.0,,,,1.0,,,,,,,,7.0,1.0,17.0,,2026-12-01,0.0,,2024-05-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
28.0,CODERPINA 10 MG BLIST X 10 TAB FRYSIA CAJA X 20,47.0,,,,,,,,,3.0,,,44.0,40.0,2.8,OLAM,2028-01-01,5.0,,2025-03-01,20.0,7.0,10.0,5.0,42.0,10.5,42.0,84.0
29.0,COLAGENO FCO X 100 TABS,0.0,,,,,,,,,,,,0.0,8.0,40.0,,2027-12-01,0.0,,2024-03-01,1.0,1.0,1.0,1.0,4.0,1.0,4.0,8.0
30.0,COLAGENO+ACIDO HIALURONICO VESA FCO X 100 GELCAPS,1.0,,,,,,,,,,,,1.0,1.0,68.0,,2027-03-01,2.0,,2024-09-01,,,1.0,,1.0,0.25,1.0,2.0
31.0,COLECTOR DE HECES GRANDE,10.0,,,,,,,,,,,,10.0,8.0,4.0,,,7.0,,2025-03-01,3.0,1.0,3.0,2.0,9.0,2.25,9.0,18.0
