No,ARTICULO,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
41.0,DESLORATADINA 5 MG BLISTER X 20 CAJA X 100 SELEC,13.0,,,,2.0,,,,,,,,11,7,8.0,,2027-07-01,1.0,,2025-04-01,3.0,4.0,1.0,1.0,9,2.25,9,18
42.0,DESLORTADINA JARABE FCO X 60 ML SELEC,4.0,,,,,,,,,,,,4,4,39.0,,2027-06-01,0.0,,2024-10-01,1.0,1.0,1.0,1.0,4,1.0,4,8
43.0,DEXAMETASONA BLIST X 10 CAJA X 100 CAPLIN,7.0,,,,,,,,,,,,7,3,7.0,,2027-06-01,1.0,,2025-04-01,1.0,1.0,1.0,2.0,5,1.25,5,10
44.0,DEXASEL 0.5 MG BLISTR X 20 SELEC (DEXAMETASONA),77.0,,,,,,,,,,,,77,95,0.95,,2028-01-01,1.0,,2025-03-01,20.0,22.0,20.0,24.0,86,21.5,86,172
45.0,DEXTROMETORFANO  JBE 120 ML SELEC,4.0,,,,,,,,,,,,4,14,17.0,,2027-05-01,6.0,,2025-04-01,1.0,3.0,4.0,1.0,9,2.25,9,18
46.0,DICLOCIEN 100 MGS CAPS GRANU BLIST X 10 CAJA X 100,8.0,,,,,,,,,,,,8,2,7.0,,2026-06-01,0.0,,2024-09-01,2.0,1.0,1.0,1.0,5,1.25,5,10
47.0,DICLOCIEN 100 MGS GEL CAPS BLIST X 10 CAJA X 100,13.0,,,,,,,,,,,,13,1,9.0,,2026-09-01,0.0,,2025-04-01,1.0,4.0,1.0,1.0,7,1.75,7,14
48.0,DICLOFENACO 100 MGS SOD GEL CAPS BLIST X 10 CAJA X 100 AR,105.0,,10.0,,,,,,,,,,95,-3,0.8,,2027-03-01,0.0,,2025-03-01,20.0,4.0,12.0,10.0,46,11.5,46,92
49.0,DICLOFENACO POT 50 MG BLIST X 10 CAJA X 100,30.0,2.0,,,,,,,,1.0,,,27,3,2.5,,2027-02-01,7.0,,2025-04-01,5.0,6.0,1.0,3.0,15,3.75,15,30
50.0,DICLOFENACO SOD 50 MG BLIS X 10 CAJA X 100 SELEC,10.0,,,,,,,,,,,,10,0,2.5,,2028-04-01,0.0,,2024-03-01,1.0,1.0,2.0,1.0,5,1.25,5,10
51.0,DICLOXACILINA 500 MG BLISTER X 10 CAPLIN CAJA X 100,5.0,,,,,,,,,,,,5,5,17.0,,2027-05-01,0.0,,2025-02-01,2.0,1.0,1.0,1.0,5,1.25,5,10
52.0,DIPIRONA AMPOLLA 2 ML CAPLIN,12.0,,,,,,,,,,,,12,14,3.0,,2027-06-01,0.0,,2025-03-01,1.0,7.0,2.0,3.0,13,3.25,13,26
53.0,DOLFIX 100 MGS CAPS GRANU BLIST X 10 CAJA X 100,7.0,,,,,,,,,,,,7,3,12.0,,2026-12-01,0.0,,2025-03-01,2.0,1.0,1.0,1.0,5,1.25,5,10
54.0,DOLFIX 100 MGS GEL CAPS BLIST X 10 CAJA X 20,2.0,,,,,,,,,,,,2,6,13.0,,2026-09-01,0.0,,2024-09-01,1.0,1.0,1.0,1.0,4,1.0,4,8
55.0,DOLODENT SANTE 18 ML CAJA X 12 UNIDADES,3.0,,,,,,,,,,,,3,11,7.0,,2026-09-01,5.0,,2024-11-01,1.0,2.0,2.0,2.0,7,1.75,7,14
56.0,DOLO-NERVISEL  KIT ,8.0,,1.0,,,,,,,,,,7,5,19.0,,2027-05-01,12.0,,2025-04-01,3.0,1.0,1.0,1.0,6,1.5,6,12
57.0,DOXICICLINA 100 MGS CAJA X 100 BLIST X 10 CAPLIN,10.0,,,,1.0,,,,,,,,9,-9,6.0,,2027-07-01,0.0,,2025-04-01,,,,,0,0.0,0,0
58.0,DROPADEX 25 MGS GEL CAPS BLIST X 10 CAJA X 50,52.0,,1.0,2.0,,,,,,,,,49,11,4.0,,2025-08-01,0.0,,2024-09-01,10.0,6.0,2.0,12.0,30,7.5,30,60
59.0,DROPADEX DUO BLIST X 10 CAJA X 10,30.0,,,,,,,,,,,,30,18,4.5,,2026-04-01,1.0,,2024-12-01,16.0,4.0,2.0,2.0,24,6.0,24,48
60.0,ENALAPRIL 20MG BLIST X 20 SELECT CAJA X 100,15.0,,,,,,,,,1.0,,,14,8,8.0,,2026-10-01,2.0,,2025-04-01,3.0,2.0,2.0,4.0,11,2.75,11,22
61.0,ENZIMAS DIGES BLIST X 10 CAJA X 30 CONAMEP,4.0,,,,,,,,,,,,4,8,15.0,,2027-11-01,4.0,,2025-04-01,2.0,2.0,1.0,1.0,6,1.5,6,12
62.0,ENZITROL BLIST X 10 CAJA X 100,9.0,,,,,,,,,,,,9,7,13.0,,2027-08-01,1.0,,2025-04-01,3.0,1.0,3.0,1.0,8,2.0,8,16
63.0,ERITROMICINA 500 MGS BLIST X 10 CAJA X 50,2.0,,,,,,,,,,,,2,8,20.0,,2026-01-01,0.0,,2024-01-01,1.0,1.0,2.0,1.0,5,1.25,5,10
64.0,ERITROMICINA SUSP 250 MGS/5ML FCO X  60 ML THERFAM,1.0,,,,,,,,,,,,1,1,22.0,,2027-09-01,0.0,,2024-02-01,,,1.0,,1,0.25,1,2
65.0,ERMAVIGOR PLUS X 10 AMP BEBIBLE PHENIEL ,0.0,,,,,,,,,,,,0,0,85.0,,,,,,,,,,0,0.0,0,0
