No,ARTICULO,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
85,GASA SUPERIOR 2 X 10 YD,3.0,4.9,9.0,0.4555555555555555,14.700000000000001,27.0
86,GASA SUPERIOR 6 X 10 YDS,2.0,13.25,22.0,0.3977272727272727,26.5,44.0
87,GINGIVEX PINCELADAS FCO. 27 ML,3.0,12.35,20.0,0.3825,37.05,60.0
88,GLORANTA TE FRUTOS ROJOS CAJA X 25 SOBRES,5.0,6.32,10.0,0.368,31.6,50.0
89,GLORANTA TE LIMON/JENGIBRE CAJA X 25 SOBRES,0.0,6.32,10.0,0.368,0.0,0.0
90,HARTMANN (1000) 1 LITRO,1.0,15.17,25.0,0.3932,15.17,25.0
91,JERINGA 5 CC 21  1 1/2 ,12.0,0.58,1.0,0.42000000000000004,6.959999999999999,12.0
92,JERINGA 5 CC 23 X 1 1/2,75.0,0.37,1.0,0.63,27.75,75.0
93,JERINGA 5 CC 23 X 1 1/4,3.0,0.35,1.0,0.65,1.0499999999999998,3.0
94,KOLIT BLISTER X 5 TAB,18.0,2.05,3.5,0.4142857142857143,36.9,63.0
95,KURA KURA LATA 13 GRS,2.0,10.94,18.0,0.39222222222222225,21.88,36.0
96,LASSAR CREMA LAFCO 120 GRS,2.0,14.75,25.0,0.41,29.5,50.0
97,LEVADURA SANTE FRASCO X100TAB,1.0,10.0,17.0,0.4117647058823529,10.0,17.0
98,LICOPODIO BOLSA X 32 SOBRES DISFAVIL,1.0,2.77,5.0,0.446,2.77,5.0
99,MAGNESIA DE SALUD THERFAM DISPEN X 72 SOB,72.0,1.17,2.0,0.41500000000000004,84.24,144.0
100,MANA SOBRE (LAXANTE) 1 ONZ,9.0,5.48,10.0,0.45199999999999996,49.32000000000001,90.0
101,MANTECA DE CACAO,83.0,1.54,2.5,0.384,127.82000000000001,207.5
102,MENTOL DAVIS GRANDE 12 GRS,2.0,6.0,10.0,0.4,12.0,20.0
103,MEPROGESICO II  BLISTER X 10,14.0,3.66,6.0,0.38999999999999996,51.24,84.0
104,NAUSEOL 1 ML X 1 AMPOLLA,2.0,5.46,10.0,0.454,10.92,20.0
105,NAUSEOL INFANTIL SUPOSITORIOS X 6 BONIN,6.0,4.38,8.0,0.4525,26.28,48.0
106,NAUSEOL SUSP JBE FCO 60 ML,2.0,45.94,72.0,0.36194444444444446,91.88,144.0
107,NEO GRIPINA 500 MG INYECTADO,0.0,4.75,8.0,0.40625,0.0,0.0
108,NEOFEBRINA JARABE 100 ML ,1.0,21.42,34.0,0.36999999999999994,21.42,34.0
109,NEOFEBRINA SUPOSITORIO NIÑOS 300 MGS CAJA X 5,5.0,7.28,12.0,0.3933333333333333,36.4,60.0
110,NEOMELUBRINA CAJA X 5 SUPOSITORIOS,3.0,7.8,13.0,0.4,23.4,39.0
111,NEOMELUBRINA JBE 100 ML ,1.0,52.5,79.0,0.33544303797468356,52.5,79.0
112,NERVADEN CAJA X 30 BLIST X 10 CAPS,33.0,2.73,4.4,0.3795454545454546,90.09,145.20000000000002
113,NERVIFEN BLIST X 10 CAJA X 30 PHENIEL,26.0,0.77,1.2,0.3583333333333333,20.02,31.2
114,NEUMONIL FORTE DISP X 100 BLIST X 2 TAB ,93.0,1.08,1.75,0.38285714285714284,100.44000000000001,162.75
115,NEUMONIL G X 60 TABS,32.0,1.52,2.5,0.392,48.64,80.0
116,OIDOL GOTAS 15 ML,2.0,25.95,44.0,0.4102272727272727,51.9,88.0
117,OJO DE AGUILA GOTAS,8.0,8.88,16.0,0.44499999999999995,71.04,128.0
