No,ARTICULO   BENDICION,EXISTENCIA,COSTO,PP,%,TOTAL COSTO,TOTAL PP
146,SANIRENAL CAJA X 100 BLIST X 10,94.0,0.6,1.0,0.4,56.4,94.0
147,SERAFON GUAYACOL+EUCALI) X 1000,580.0,0.125,0.25,0.5,72.5,145.0
148,SERTAL COMPUESTO BLIS X 10 CAJA X 200,193.0,1.75,3.3,0.46969696969696967,337.75,636.9
149,SERTAL COMPUESTO X 3 DOSIS,4.0,8.33,20.0,0.5835,33.32,80.0
150,SHAMPOO MEDICASP 130.ML,1.0,42.0,70.0,0.4,42.0,70.0
151,SIXTYNINE (SILDEN X 100 MGS) CAJA X 30 SOB Y CART X 4,20.0,2.6,10.0,0.74,52.0,200.0
152,SUCRADEL CAJA X 30 SOBRES,39.0,2.5,5.0,0.5,97.5,195.0
153,SUCRASSYL CAJA X 30 PAHIL,29.0,3.12,5.0,0.376,90.48,145.0
154,SUKROL BEBIBLE CAJA X 10 VIAL,9.0,2.5,5.5,0.5454545454545454,22.5,49.5
155,SUKROL NIÑO JARABE 240 ML,1.0,12.0,25.0,0.52,12.0,25.0
156,SUKROL TAB  CAJA X 100,1.0,20.0,80.0,0.75,20.0,80.0
157,TE ANTIGRIPAL CAJA X 20 SOBRES,18.0,0.5,1.0,0.5,9.0,18.0
158,TE CHUPA GRASA CAJA X 30,1.0,35.0,57.0,0.38596491228070173,35.0,57.0
159,TE CHUPA PANZA CAJA X 30,1.0,35.0,57.0,0.38596491228070173,35.0,57.0
160,TE DE ALCACHOFA GN+V X 30 SOBRES,1.0,35.72,57.0,0.37333333333333335,35.72,57.0
161,TE DE PIÑALIN CAJA X 30 SOBRES,1.0,35.0,57.0,0.38596491228070173,35.0,57.0
162,TE GINKO BILOBA CAJA X 20 SOBRES ,14.0,0.75,1.5,0.5,10.5,21.0
163,TE LIMON + JENGIBRE CAJA X 20 SOBRES ,11.0,0.75,1.5,0.5,8.25,16.5
164,TE MANZANILLA + TILO  CAJA X 20 SOBRES ,14.0,0.75,1.5,0.5,10.5,21.0
165,TE MANZANILLA CAJA X 20 SOBRES,14.0,0.7,1.5,0.5333333333333333,9.799999999999999,21.0
166,TE PARA LA DIABETES CAJA X 20 SOB VIDA,9.0,0.75,2.0,0.625,6.75,18.0
167,TE PARA LA NOCHE CAJA X 20 SOBRES,13.0,0.5,1.5,0.6666666666666666,6.5,19.5
168,TE PARA LA PRESION CAJA X 20 SOB VIDA,23.0,0.6,1.15,0.47826086956521735,13.799999999999999,26.45
169,TE PARA LOS NERVIOS CAJA X 20 SOB VIDA,7.0,0.76,1.5,0.49333333333333335,5.32,10.5
170,TE PERICON CAJA X 20 SOBRES  ,20.0,0.6,1.0,0.4,12.0,20.0
171,TE RENAL CAJA X 20 SOBRES,17.0,0.6,1.5,0.6,10.2,25.5
172,TE TILO CAJA X 20 SOBRES,26.0,0.5,1.5,0.6666666666666666,13.0,39.0
173,TE VERDE PIÑA CAJA X 20 SOBRES ,9.0,0.75,1.5,0.5,6.75,13.5
174,TERABIOL LANCASCO AMPIC+SULBACTAN) FCO X 70 ML,1.0,25.3,50.0,0.494,25.3,50.0
175,TERRAMICINA UNGÜENTO 5 GRS,2.0,15.0,33.0,0.5454545454545454,30.0,66.0
176,TIAMINA 300 ANCALMO CAJA X 100,31.0,0.4,1.0,0.6,12.4,31.0
177,TRAMADOL CAPSULA  CAJA X 100 BLIST X 10 MILAN,16.0,5.5,10.0,0.45,88.0,160.0
178,TRES TOROS  CAJA X 10 AMPOLLAS VIAL BEBIBLE,1.0,20.0,40.0,0.5,20.0,40.0
179,TRIAXOBIL S 1.5 FCO I.M /I.V.,0.0,36.0,70.0,0.4857142857142857,0.0,0.0
180,TRIPLE FORTE DX CAJA X 3 INYEC,1.0,15.3,30.0,0.49,15.3,30.0
181,TUSILEXIL FCO X 120 ML,2.0,25.3,50.0,0.494,50.6,100.0
182,UNESIA 20 GRS,2.0,30.0,58.0,0.4827586206896552,60.0,116.0
183,UNIPULMIN ANTGRIPAL INYECTABLE,4.0,9.3,16.0,0.41874999999999996,37.2,64.0
184,UNIPULMIN GRIPE Y TOS INYECTABLE,3.0,9.3,16.0,0.41874999999999996,27.900000000000002,48.0
185,UROFIN DISPENS X 100,76.0,1.85,3.0,0.3833333333333333,140.6,228.0
186,VARIFIN  FCO 100 TABS,1.0,20.3,40.0,0.4925,20.3,40.0
187,VICK PASTI MENTOL 5 X 24 SOBRES,6.0,2.29,4.0,0.4275,13.74,24.0
188,VICK VAPORUB 12G  CAJA X 12 LATITAS,17.0,6.0,10.0,0.4,102.0,170.0
189,VITAL FUERTE 10 AMP BEB 10 ML,12.0,2.5,5.8,0.5689655172413793,30.0,69.6
190,VITALFUERTE X 100 TAB,1.0,20.3,80.0,0.7462500000000001,20.3,80.0
191,VITAMINA E 1000 X 100 VESA,178.0,0.4,1.2,0.6666666666666666,71.2,213.6
192,VIVE AMOR 16 CAJAS X 3 UND,4.0,4.7,8.0,0.4125,18.8,32.0
193,VIVE ORIGINAL 16 CAJAS X 3 UND,4.0,4.87,8.0,0.39125,19.48,32.0
