No,ARTICULO TIENDA,EXISTENCIA,LUNES AM,LUNES PM,MARTES AM,MARTES PM,MIERCO AM,MIERCO PM,JUEVES AM,JUEVES PM,VIERNES AM,VIERNES PM,SABADO,NVA EXIST,PEDIDO,PP,OBSERVACIONES,FECHA DE VENCIMIENTO,BODEGA,COMPRAS,FECHA DE COMPRA,SEM 28 ABRIL,SEM 5 MAYO,SEM 12 MAYO, SEM 21 ABRIL,TOTAL,PROMEDIO,1 MES,2 MESES
60,GOMITAS TENYS,3,,,,,,,,,,,,3,5,5.0,SILOE,,3.0,,2024-07-01,1.0,1.0,1.0,1.0,4,1.0,4,8
61,GOMITAS UNICORNIO,4,,,,,,,,,,,,4,6,5.0,SILOE,,12.0,,2024-07-01,1.0,,3.0,1.0,5,1.25,5,10
62,GOTAS PAPILLON BOLSA X 11,5,,,,,,,,,,,,5,3,14.0,EL CISNE,,0.0,,2023-01-01,1.0,1.0,1.0,1.0,4,1.0,4,8
63,HALLS CAJA X 12 SABORES NEGRO ,4,,,,,,,,,,,,4,4,5.0,SILOE,,0.0,,2023-11-01,1.0,1.0,1.0,1.0,4,1.0,4,8
64,HALLS CAJA X 18 SABORES,9,,,,,,,,,,,,9,-1,4.0,SILOE,2025-06-01,25.0,,2023-11-01,1.0,1.0,1.0,1.0,4,1.0,4,8
65,HILO DENTAL ORAL B,3,,,,,,,,,,,,3,5,25.0,PRICES,,3.0,,2024-05-01,1.0,1.0,1.0,1.0,4,1.0,4,8
66,HISOPOS X 100 ,6,,,,,,,,,1.0,,,5,17,5.0,ESQUINITA,,20.0,,2025-03-01,5.0,1.0,2.0,3.0,11,2.75,11,22
67,JABON DOVE 135 GRS,2,,,,,,,,,,,,2,6,15.0,ESQUINITA,,8.0,,2025-03-01,1.0,1.0,1.0,1.0,4,1.0,4,8
68,LASAR MIMO TUBO 120 GRS,3,,,,,,,,,,,,3,5,25.0,ESQUINITA,2026-06-01,1.0,,2024-09-01,1.0,1.0,1.0,1.0,4,1.0,4,8
69,LIMA PARA UÑAS,13,,,,,,,,,,,,13,7,0.5,EL CISNE,,24.0,,2021-07-01,2.0,4.0,2.0,2.0,10,2.5,10,20
